task_id;start;end;in_time;assign_time;complete_time;car_id
6;(2, 13);(4, 12);0;4;7;13
7;(1, 11);(7, 11);0;0;10;12
5;(5, 9);(10, 13);0;5;16;17
3;(8, 5);(4, 11);0;4;18;15
2;(7, 12);(2, 1);0;1;19;16
8;(9, 1);(3, 13);0;4;24;14
4;(10, 2);(10, 1);0;12;25;10
9;(10, 12);(3, 9);8;16;26;12
10;(1, 7);(7, 8);11;15;26;13
13;(1, 3);(4, 10);20;22;32;16
16;(7, 8);(6, 5);27;27;36;13
17;(9, 5);(10, 1);27;30;40;10
1;(10, 10);(1, 1);0;18;42;11
11;(7, 4);(8, 13);17;28;48;17
12;(4, 6);(2, 13);19;36;49;14
15;(3, 1);(5, 13);26;37;51;15
20;(10, 4);(7, 12);41;43;54;10
18;(3, 13);(10, 13);33;36;55;16
24;(4, 6);(5, 13);52;52;59;12
19;(7, 11);(1, 2);37;43;62;13
14;(9, 13);(7, 7);25;55;65;15
25;(6, 9);(10, 7);55;55;68;17
28;(7, 10);(7, 6);63;64;68;12
21;(5, 9);(1, 4);43;60;70;14
23;(9, 9);(9, 1);50;60;72;16
22;(1, 10);(10, 2);49;51;74;11
27;(10, 3);(7, 2);60;72;78;15
30;(7, 4);(4, 2);69;70;78;12
31;(6, 9);(3, 5);69;74;81;17
26;(5, 1);(1, 8);56;67;82;13
32;(7, 10);(2, 13);71;75;83;10
34;(4, 4);(6, 13);75;79;90;14
39;(7, 7);(5, 13);84;84;91;15
36;(10, 11);(4, 10);79;83;94;16
35;(4, 8);(8, 1);79;84;97;12
38;(10, 1);(10, 2);83;89;102;11
33;(7, 12);(1, 13);73;92;105;14
29;(7, 11);(6, 5);66;91;106;13
41;(9, 1);(7, 2);92;98;109;12
44;(4, 6);(1, 3);103;108;114;10
40;(7, 4);(4, 12);91;98;116;17
37;(9, 13);(4, 7);82;105;118;15
43;(10, 12);(10, 3);98;104;121;16
45;(5, 5);(8, 5);106;112;125;11
47;(4, 8);(9, 9);110;113;125;14
46;(10, 7);(5, 9);107;119;126;12
48;(8, 9);(2, 9);115;124;130;13
50;(4, 6);(1, 12);119;119;130;15
53;(3, 1);(1, 7);126;130;138;16
