(4, 6);(10, 2);0
(10, 6);(8, 1);0
(8, 9);(5, 13);0
(3, 13);(4, 10);0
(1, 6);(4, 3);0
(10, 1);(3, 1);0
(10, 8);(7, 7);0
(1, 4);(7, 3);0
(4, 2);(6, 13);0
(7, 6);(8, 13);0
(6, 5);(1, 12);0
(3, 9);(10, 4);0
(6, 9);(5, 9);0
(10, 3);(1, 7);0
(1, 8);(9, 9);0
(9, 13);(5, 1);0
(10, 12);(7, 11);0
(2, 9);(7, 4);0
(9, 5);(7, 12);0
(1, 10);(8, 5);0
(3, 5);(10, 11);0
(4, 8);(7, 10);0
(1, 2);(1, 13);0
(7, 2);(5, 5);0
(1, 11);(4, 7);0
(10, 10);(10, 13);0
(4, 4);(7, 8);0
(2, 13);(9, 1);0
(6, 1);(1, 1);0
(1, 3);(4, 11);0
(2, 5);(10, 7);0
(2, 1);(4, 12);0
(5, 9);(6, 9);5
(3, 13);(1, 1);9
(4, 10);(6, 1);9
(4, 7);(1, 11);10
(10, 13);(1, 4);11
(7, 3);(10, 10);11
(7, 10);(2, 9);15
(4, 8);(1, 3);15
(7, 4);(4, 3);15
(4, 11);(1, 6);15
(7, 6);(8, 13);16
(7, 7);(10, 8);17
(5, 9);(6, 9);17
(10, 6);(8, 9);18
(7, 2);(5, 5);18
(5, 13);(8, 1);18
(10, 12);(7, 11);20
(7, 8);(4, 4);23
(4, 6);(1, 10);24
(6, 13);(8, 5);24
(4, 2);(10, 2);24
(10, 4);(3, 9);25
(7, 12);(9, 5);26
(9, 13);(4, 12);28
(1, 2);(10, 6);28
(6, 9);(1, 13);28
(9, 9);(5, 9);28
(2, 1);(8, 9);28
(5, 1);(1, 8);28
(2, 9);(7, 10);29
(7, 2);(2, 13);31
(5, 5);(4, 3);31
(1, 6);(7, 4);31
(4, 11);(9, 1);31
(10, 10);(7, 3);32
(10, 8);(7, 7);33
(4, 7);(1, 11);35
(7, 11);(10, 12);35
(10, 1);(3, 1);36
(1, 12);(6, 5);37
(3, 5);(10, 11);38
(7, 8);(1, 1);39
(4, 4);(1, 7);39
(3, 13);(10, 3);39
(2, 5);(10, 7);41
(4, 8);(1, 3);42
(1, 13);(6, 9);43
(8, 13);(10, 12);45
(7, 11);(4, 10);45
(6, 1);(7, 6);45
(8, 5);(6, 13);46
(1, 10);(4, 6);47
(10, 4);(3, 9);48
(1, 6);(7, 4);50
(5, 5);(4, 3);50
(9, 13);(10, 10);52
(7, 3);(10, 6);52
(1, 2);(4, 12);52
(7, 10);(2, 9);53
(10, 2);(4, 2);53
(1, 4);(10, 13);54
(1, 11);(10, 8);55
(5, 1);(7, 7);55
(4, 7);(1, 8);55
(4, 4);(1, 7);56
(1, 12);(6, 5);57
(9, 9);(1, 13);58
(5, 9);(6, 9);58
(8, 9);(2, 1);61
(10, 6);(10, 2);62
(4, 2);(9, 1);62
(7, 3);(4, 11);62
(5, 5);(3, 5);63
(4, 3);(10, 11);63
(5, 13);(2, 13);64
(8, 1);(7, 2);64
(8, 13);(7, 12);67
(10, 12);(9, 5);67
(1, 8);(4, 7);68
(10, 1);(3, 1);69
(3, 13);(2, 9);70
(7, 10);(10, 3);70
(9, 1);(10, 10);71
(9, 13);(4, 2);71
(7, 11);(7, 8);72
(1, 3);(1, 1);72
(4, 10);(4, 8);72
(6, 9);(4, 6);74
(5, 9);(1, 10);74
(10, 7);(2, 5);75
(6, 5);(1, 12);75
(10, 6);(10, 2);75
(1, 2);(4, 12);75
(10, 8);(1, 11);76
(4, 7);(1, 8);77
(7, 4);(1, 6);78
(3, 5);(5, 5);78
(6, 1);(7, 6);79
(1, 13);(9, 9);80
(3, 1);(10, 1);80
(1, 7);(4, 4);81
(6, 13);(1, 10);82
(8, 5);(5, 9);82
(5, 1);(7, 7);86
(2, 9);(3, 13);87
(1, 1);(1, 3);87
(4, 7);(1, 8);87
(8, 9);(2, 1);88
(2, 13);(9, 5);89
(5, 13);(10, 12);89
(7, 2);(3, 9);90
(10, 4);(8, 1);90
(7, 12);(1, 3);92
(1, 1);(8, 13);92
(10, 10);(9, 1);93
(4, 2);(3, 5);94
(9, 13);(5, 5);94
(10, 3);(7, 10);95
(4, 11);(7, 3);96
(1, 6);(7, 4);96
(1, 10);(6, 13);96
(10, 7);(2, 5);97
(9, 9);(1, 13);98
(6, 9);(4, 6);98
(10, 11);(4, 10);99
(4, 3);(4, 8);99
(10, 8);(1, 11);99
(1, 4);(10, 13);100
(7, 8);(10, 6);100
(7, 11);(10, 2);100
(4, 12);(1, 2);102
(4, 4);(1, 7);102
(3, 1);(10, 1);104
(6, 5);(1, 12);106
(2, 9);(3, 13);108
(3, 9);(4, 2);108
(3, 5);(7, 2);108
(5, 13);(10, 12);109
(6, 13);(1, 10);111
(8, 5);(4, 11);114
(5, 9);(9, 1);114
(10, 10);(7, 3);114
(1, 8);(1, 13);115
(4, 7);(9, 9);115
(7, 10);(10, 3);115
(4, 4);(1, 7);115
(8, 1);(4, 6);116
(6, 9);(7, 12);116
(10, 4);(2, 1);116
(1, 3);(8, 9);116
(1, 6);(7, 4);117
(4, 3);(4, 8);117
(10, 12);(5, 13);118
(4, 12);(1, 2);119
(6, 1);(10, 7);120
(2, 5);(7, 6);120
(4, 2);(5, 1);122
(3, 9);(7, 7);122
(7, 8);(10, 6);122
(9, 13);(5, 5);123
(4, 10);(4, 2);124
(10, 11);(5, 1);124
(9, 5);(2, 13);125
(1, 13);(1, 8);126
(10, 2);(8, 13);127
(7, 11);(1, 1);127
(1, 11);(10, 8);129
(3, 13);(2, 9);131
(8, 1);(4, 6);134
(7, 10);(10, 3);134
(9, 9);(10, 13);135
(4, 7);(1, 4);135
(10, 1);(8, 5);135
(4, 11);(3, 1);135
(6, 13);(1, 10);136
(7, 6);(4, 3);138
(4, 8);(2, 5);138
(10, 12);(5, 13);139
(2, 9);(3, 13);139
(1, 12);(6, 5);140
(5, 9);(9, 1);142
(3, 5);(7, 2);142
(6, 1);(3, 9);143
(7, 7);(10, 7);143
(9, 5);(2, 13);144
(7, 4);(7, 8);144
(10, 6);(1, 6);144
(1, 7);(7, 12);145
(4, 4);(6, 9);145
(4, 10);(4, 2);146
(10, 4);(10, 10);147
(4, 3);(2, 1);147
(7, 6);(1, 2);147
(7, 3);(4, 12);147
(3, 13);(2, 9);148
(8, 13);(2, 5);151
(1, 11);(10, 2);151
(4, 8);(10, 8);151
(8, 1);(4, 6);152
(1, 8);(1, 13);153
(1, 1);(7, 11);155
(1, 4);(2, 9);156
(3, 13);(7, 7);156
(10, 7);(4, 7);156
(5, 5);(9, 13);158
(8, 9);(1, 3);158
(10, 1);(8, 5);159
(1, 7);(10, 11);159
(5, 1);(7, 12);159
(6, 9);(9, 9);160
(10, 13);(4, 4);160
(6, 13);(10, 12);161
(1, 10);(5, 13);161
(7, 4);(10, 10);162
(4, 11);(3, 1);162
(10, 4);(7, 8);162
(10, 3);(7, 10);164
(1, 12);(6, 5);166
(4, 3);(2, 1);167
(3, 9);(6, 1);168
(5, 13);(1, 10);170
(1, 6);(7, 2);171
(3, 5);(10, 6);171
(4, 12);(7, 3);172
(10, 7);(4, 7);174
(9, 13);(5, 5);176
(5, 9);(9, 1);177
(8, 5);(10, 1);177
(10, 13);(1, 3);178
(4, 4);(8, 9);178
(8, 1);(7, 11);179
(4, 6);(1, 1);179
(1, 8);(1, 13);179
(4, 8);(10, 8);180
(9, 9);(1, 2);181
(6, 9);(7, 6);181
(2, 1);(2, 13);182
(4, 3);(9, 5);182
(7, 7);(4, 10);183
(1, 11);(3, 13);183
(10, 2);(4, 2);183
(6, 13);(10, 12);186
(10, 11);(1, 4);187
(1, 7);(2, 9);187
(5, 13);(1, 10);188
(10, 3);(7, 10);188
(3, 9);(4, 11);189
(7, 4);(6, 1);189
(3, 1);(10, 10);189
(10, 4);(7, 8);191
(7, 3);(4, 12);191
(8, 13);(2, 5);192
(10, 2);(4, 2);193
(9, 13);(5, 5);194
(10, 1);(2, 13);198
(2, 1);(8, 5);198
