task_id;start;end;in_time;assign_time;complete_time;car_id
5;(1, 3);(6, 5);0;0;7;10
3;(7, 10);(9, 5);0;1;8;16
11;(7, 7);(7, 12);0;5;10;15
8;(13, 7);(8, 9);0;4;11;18
4;(9, 1);(13, 6);0;4;13;14
12;(15, 9);(13, 11);0;4;14;20
1;(10, 12);(3, 9);0;7;17;17
7;(10, 7);(16, 8);0;8;18;19
10;(4, 8);(12, 9);0;6;21;12
2;(4, 2);(16, 2);0;7;25;11
13;(8, 1);(4, 6);8;13;26;10
6;(16, 10);(11, 1);0;7;27;21
15;(7, 8);(5, 13);11;13;28;18
17;(8, 13);(4, 12);14;23;29;20
23;(4, 6);(5, 9);27;27;30;10
20;(14, 5);(7, 2);19;23;33;19
14;(5, 1);(10, 10);9;19;35;16
19;(2, 5);(1, 7);18;24;35;17
16;(1, 3);(3, 5);12;27;37;15
18;(10, 4);(7, 6);15;25;37;14
9;(16, 3);(10, 6);0;26;39;13
25;(7, 11);(4, 4);29;32;43;18
27;(6, 5);(1, 8);31;38;46;10
21;(16, 7);(1, 13);22;27;52;12
26;(1, 2);(14, 1);30;40;54;17
31;(7, 12);(15, 9);38;43;57;14
24;(16, 2);(9, 9);28;42;58;21
28;(5, 13);(11, 5);34;43;59;16
34;(4, 8);(8, 9);44;51;62;10
30;(12, 5);(1, 11);36;45;64;20
33;(7, 10);(9, 1);40;46;65;13
35;(13, 3);(8, 1);47;57;68;18
22;(16, 11);(1, 1);26;42;71;11
29;(11, 9);(3, 9);36;52;72;19
40;(13, 8);(4, 7);60;64;76;16
36;(7, 2);(11, 1);53;68;79;13
37;(12, 1);(4, 4);55;68;79;17
32;(16, 1);(4, 12);38;59;82;15
38;(1, 2);(4, 11);58;72;84;11
39;(15, 1);(2, 5);59;67;84;14
41;(8, 13);(10, 2);63;70;85;10
46;(7, 8);(3, 5);73;78;85;20
49;(6, 5);(10, 6);80;82;87;17
44;(15, 9);(14, 13);69;85;92;18
43;(1, 13);(3, 1);66;80;94;12
42;(2, 9);(16, 8);65;73;96;19
45;(8, 9);(1, 3);72;82;100;21
52;(12, 9);(16, 2);85;92;103;17
47;(5, 1);(15, 13);77;83;105;16
51;(13, 4);(7, 11);85;92;105;10
56;(13, 12);(8, 13);93;94;108;18
48;(10, 10);(16, 4);80;93;113;13
50;(4, 8);(16, 10);83;93;113;14
55;(3, 9);(8, 1);88;99;116;11
53;(13, 8);(16, 13);86;103;117;15
57;(10, 12);(13, 6);95;106;117;19
58;(1, 13);(7, 10);97;110;121;12
62;(1, 10);(4, 6);106;116;123;10
63;(16, 11);(14, 9);109;114;124;14
54;(16, 6);(1, 6);86;110;127;20
61;(15, 1);(2, 1);106;117;130;13
59;(9, 9);(6, 9);101;118;131;21
66;(8, 13);(4, 11);117;125;131;15
64;(7, 7);(7, 2);114;119;134;17
60;(5, 9);(16, 2);104;115;135;18
65;(12, 9);(16, 1);114;122;138;16
67;(13, 2);(1, 8);118;121;142;19
70;(16, 7);(14, 13);124;128;143;14
71;(3, 5);(10, 4);125;125;143;10
69;(3, 13);(12, 13);122;128;149;12
73;(6, 1);(5, 5);131;143;150;15
68;(1, 11);(3, 1);118;133;152;20
76;(9, 5);(1, 7);135;143;153;17
77;(16, 6);(7, 8);136;143;156;16
74;(12, 5);(16, 8);132;144;157;18
79;(7, 11);(10, 12);143;151;157;19
72;(14, 5);(11, 5);128;147;162;11
81;(16, 10);(3, 9);144;148;163;14
78;(1, 2);(11, 9);139;146;164;13
80;(4, 8);(7, 3);144;153;164;10
75;(11, 13);(1, 12);132;145;166;21
83;(13, 8);(13, 12);151;155;171;12
91;(14, 9);(16, 12);165;167;172;13
82;(10, 2);(12, 1);150;162;174;15
84;(1, 11);(15, 9);153;157;177;17
92;(14, 13);(16, 11);165;173;177;12
85;(6, 1);(10, 3);154;164;178;16
88;(7, 7);(7, 12);158;165;180;19
86;(5, 9);(16, 13);157;166;181;20
89;(1, 8);(6, 13);163;166;183;14
87;(3, 5);(12, 9);158;170;187;11
93;(4, 3);(16, 2);167;174;189;18
97;(16, 8);(10, 10);178;179;193;17
90;(4, 12);(15, 1);164;171;194;21
