task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
12;(7, 3);(6, 1);0;0;3;20;False
1;(13, 4);(16, 3);0;2;8;31;False
26;(2, 9);(4, 7);0;4;8;16;False
11;(6, 9);(4, 12);0;4;10;26;False
7;(8, 9);(8, 5);0;3;11;25;False
23;(13, 3);(10, 11);0;0;11;30;False
2;(1, 6);(2, 13);0;4;12;11;False
28;(7, 4);(16, 4);0;2;13;21;False
5;(13, 7);(10, 7);0;6;14;37;False
14;(1, 10);(5, 1);0;1;14;15;False
10;(12, 13);(13, 11);0;3;15;35;False
13;(16, 12);(13, 10);0;10;18;39;False
8;(7, 7);(14, 5);0;6;19;22;False
4;(4, 2);(7, 2);0;9;20;23;False
31;(4, 4);(1, 13);4;8;20;20;False
25;(4, 3);(5, 9);0;11;21;14;False
15;(10, 8);(16, 1);0;9;23;28;False
24;(12, 1);(16, 10);0;5;23;32;False
3;(3, 5);(11, 13);0;7;24;13;False
9;(1, 3);(15, 13);0;0;24;10;False
18;(2, 1);(16, 7);0;5;25;12;False
20;(8, 13);(1, 12);0;5;25;27;False
29;(14, 1);(9, 9);0;6;25;33;False
22;(4, 10);(14, 9);0;9;26;17;False
17;(15, 9);(5, 5);0;7;27;38;False
39;(7, 8);(10, 3);15;19;27;26;False
16;(10, 6);(7, 6);0;17;28;29;False
38;(9, 5);(11, 1);14;22;28;15;False
30;(14, 13);(2, 5);0;4;29;36;False
6;(10, 2);(1, 11);0;10;30;24;False
19;(16, 2);(13, 12);0;9;30;31;False
27;(15, 5);(3, 13);0;8;32;34;False
34;(16, 13);(13, 4);11;19;32;30;False
40;(10, 12);(6, 5);15;19;33;37;False
45;(3, 9);(4, 4);21;26;33;20;False
32;(10, 10);(16, 6);9;23;35;11;False
36;(1, 1);(7, 3);12;22;35;25;False
44;(13, 10);(16, 12);21;29;36;35;False
33;(13, 8);(13, 6);9;24;37;18;False
43;(10, 4);(5, 1);20;27;37;23;False
35;(16, 3);(4, 12);12;14;39;21;False
46;(8, 9);(6, 1);22;24;39;14;False
53;(7, 11);(2, 9);26;29;40;33;False
50;(1, 13);(10, 7);25;26;41;27;False
52;(10, 8);(9, 1);26;34;42;12;False
41;(15, 1);(4, 7);16;26;44;22;False
61;(2, 13);(7, 6);31;33;45;24;False
42;(11, 5);(4, 11);19;32;46;28;False
21;(16, 8);(1, 2);0;26;47;19;False
56;(1, 3);(13, 3);28;32;48;36;False
57;(9, 9);(1, 7);29;38;48;29;False
59;(12, 13);(8, 1);30;32;48;31;False
47;(16, 10);(4, 2);24;24;49;32;False
49;(9, 13);(11, 9);25;40;50;10;False
48;(1, 4);(4, 3);24;42;51;39;False
58;(16, 1);(3, 5);29;33;51;15;False
55;(2, 1);(5, 9);28;36;52;38;False
63;(16, 4);(14, 9);33;37;52;11;False
67;(3, 1);(8, 5);36;37;53;20;False
68;(16, 11);(6, 13);37;37;53;35;False
70;(10, 12);(5, 5);38;45;57;13;False
75;(2, 5);(6, 5);43;51;57;29;False
72;(13, 7);(7, 8);40;48;59;27;False
54;(5, 13);(14, 5);27;41;60;21;False
64;(7, 10);(9, 5);34;44;60;37;False
69;(4, 8);(7, 12);38;42;60;34;False
71;(5, 1);(11, 13);40;40;60;14;False
51;(14, 1);(1, 12);26;33;62;26;False
66;(12, 5);(10, 6);36;49;62;25;False
62;(12, 1);(1, 11);33;36;63;30;False
88;(1, 2);(6, 1);53;57;63;15;False
78;(7, 2);(10, 10);47;50;64;31;False
86;(11, 5);(15, 9);52;56;64;20;False
65;(10, 11);(10, 2);34;45;65;18;False
79;(15, 5);(10, 4);48;52;66;36;False
76;(2, 9);(10, 8);45;48;67;22;False
77;(16, 2);(13, 6);46;58;67;24;False
60;(15, 13);(1, 10);31;45;68;17;False
108;(1, 10);(1, 11);69;69;69;17;False
37;(12, 9);(1, 6);13;25;70;16;False
74;(13, 10);(7, 4);42;60;72;28;False
81;(6, 9);(8, 1);49;53;72;38;False
83;(3, 9);(10, 3);50;54;72;33;False
101;(9, 5);(12, 5);64;70;73;15;False
73;(16, 7);(4, 10);41;59;74;23;False
100;(5, 13);(7, 10);64;69;74;30;False
110;(1, 7);(1, 10);71;71;74;16;False
85;(16, 1);(4, 2);52;62;76;11;False
92;(10, 7);(13, 2);58;63;76;29;False
80;(16, 3);(9, 9);49;64;77;32;False
94;(16, 12);(13, 4);61;66;77;14;False
96;(9, 13);(4, 12);61;63;77;34;False
105;(7, 8);(6, 5);67;75;79;31;False
84;(8, 13);(4, 7);51;63;81;12;False
90;(4, 3);(5, 9);54;60;81;13;False
102;(11, 5);(11, 9);65;70;81;36;False
97;(4, 11);(11, 13);61;68;82;26;False
82;(14, 13);(2, 13);49;59;84;10;False
109;(12, 1);(13, 7);70;76;84;33;False
95;(5, 1);(13, 3);61;68;85;37;False
103;(16, 11);(8, 9);65;68;85;20;False
125;(4, 7);(6, 5);82;82;85;12;False
126;(8, 13);(9, 13);82;84;85;16;False
89;(1, 4);(13, 12);54;57;86;39;False
117;(4, 10);(1, 6);75;75;87;23;False
118;(7, 6);(7, 2);77;82;87;32;False
111;(6, 9);(1, 13);73;79;88;30;False
130;(1, 11);(1, 10);86;87;88;10;False
106;(6, 13);(10, 4);68;76;89;17;False
104;(5, 5);(14, 1);66;75;90;18;False
91;(1, 1);(14, 9);58;71;92;35;False
93;(13, 8);(2, 1);60;69;92;24;False
133;(6, 5);(7, 10);86;86;92;12;False
114;(15, 9);(10, 12);74;81;93;15;False
98;(16, 6);(2, 5);63;71;94;25;False
99;(16, 4);(12, 13);63;75;94;27;False
116;(15, 5);(7, 7);75;85;95;29;False
119;(4, 8);(10, 11);77;82;95;11;False
128;(12, 9);(4, 11);85;87;97;33;False
121;(8, 1);(9, 1);78;85;98;14;False
112;(7, 12);(16, 8);73;83;99;22;False
115;(3, 9);(7, 11);75;85;99;38;False
122;(15, 13);(12, 5);78;86;99;26;False
107;(3, 5);(7, 3);68;86;100;21;False
87;(13, 11);(1, 3);53;78;102;19;False
113;(10, 10);(10, 8);73;87;102;28;False
123;(1, 2);(10, 6);80;87;102;31;False
134;(13, 2);(11, 5);87;95;102;32;False
124;(14, 5);(10, 3);82;90;104;36;False
129;(7, 8);(16, 1);85;87;104;20;False
141;(5, 5);(13, 6);93;94;104;23;False
131;(5, 9);(9, 5);86;95;105;16;False
120;(16, 10);(10, 7);78;93;106;39;False
150;(7, 4);(6, 9);99;101;107;21;False
163;(10, 7);(10, 8);107;107;107;39;False
127;(4, 2);(16, 3);83;93;108;13;False
137;(1, 11);(13, 10);89;90;108;30;False
132;(8, 5);(12, 1);86;97;109;37;False
135;(9, 9);(4, 10);88;97;111;10;False
144;(16, 11);(7, 10);94;97;111;35;False
136;(2, 13);(3, 13);88;100;113;12;False
143;(7, 6);(10, 4);93;102;113;15;False
145;(1, 6);(1, 1);95;96;113;25;False
147;(1, 8);(4, 3);96;105;113;29;False
165;(7, 2);(7, 4);108;111;113;19;False
151;(7, 12);(14, 13);100;100;114;27;False
155;(13, 8);(16, 6);103;106;114;23;False
146;(16, 4);(4, 7);95;95;115;18;False
139;(1, 12);(8, 9);90;103;116;33;False
158;(16, 2);(11, 9);103;105;118;20;False
140;(4, 6);(16, 12);91;102;121;24;False
138;(13, 3);(4, 12);89;98;123;34;False
156;(16, 8);(11, 5);103;113;123;13;False
160;(9, 13);(7, 3);105;110;123;31;False
159;(8, 1);(4, 11);105;110;125;32;False
174;(4, 2);(4, 4);114;114;126;29;False
142;(6, 5);(16, 13);93;101;127;17;False
154;(14, 9);(12, 9);101;113;127;11;False
168;(13, 7);(5, 9);110;117;127;37;False
169;(7, 8);(3, 1);112;113;127;35;False
148;(2, 1);(14, 1);96;105;128;14;False
149;(11, 1);(1, 7);98;107;128;26;False
153;(8, 13);(13, 4);100;114;128;38;False
161;(14, 5);(1, 2);105;109;131;28;False
164;(7, 11);(5, 1);108;113;131;39;False
167;(12, 13);(10, 3);109;118;131;36;False
184;(7, 2);(1, 1);124;124;131;31;False
173;(10, 12);(16, 10);114;121;132;33;False
157;(6, 13);(15, 5);103;116;133;21;False
162;(9, 1);(1, 13);106;112;133;16;False
177;(12, 1);(3, 5);115;118;134;15;False
187;(11, 9);(9, 13);128;128;134;11;False
166;(13, 11);(1, 4);109;109;135;30;False
171;(12, 5);(16, 11);114;119;135;23;False
172;(4, 10);(1, 10);114;125;135;25;False
152;(15, 9);(2, 9);100;111;136;22;False
175;(3, 13);(13, 10);114;114;136;12;False
176;(6, 9);(7, 6);115;119;136;19;False
178;(7, 12);(10, 6);116;125;136;20;False
180;(5, 5);(1, 12);119;119;137;18;False
181;(7, 7);(10, 11);122;130;137;13;False
179;(3, 9);(6, 1);117;125;139;10;False
170;(16, 7);(11, 13);112;122;140;27;False
208;(1, 6);(1, 10);137;137;141;15;False
186;(9, 9);(13, 6);127;136;143;32;False
182;(16, 1);(13, 12);124;130;144;14;False
183;(8, 9);(4, 3);124;132;146;34;False
196;(1, 2);(7, 10);132;132;146;31;False
185;(13, 3);(2, 5);126;129;147;38;False
207;(7, 6);(13, 7);137;137;147;19;False
188;(16, 8);(7, 8);128;132;148;17;False
189;(4, 6);(8, 5);128;137;148;35;False
197;(12, 9);(6, 5);132;138;149;33;False
202;(7, 3);(14, 9);135;135;149;39;False
203;(12, 5);(10, 8);136;139;150;20;False
198;(7, 11);(10, 10);133;144;152;13;False
192;(8, 1);(5, 13);129;133;153;29;False
195;(10, 7);(5, 9);132;138;153;24;False
200;(9, 1);(7, 4);134;144;153;28;False
204;(14, 13);(16, 2);136;140;153;12;False
191;(4, 11);(4, 2);129;135;154;26;False
201;(12, 1);(2, 1);135;143;154;21;False
205;(7, 2);(1, 11);136;138;154;36;False
190;(4, 12);(16, 3);128;131;156;37;False
199;(16, 13);(4, 7);134;137;156;23;False
193;(2, 13);(10, 4);129;139;158;18;False
210;(10, 2);(16, 10);138;144;158;10;False
194;(8, 13);(15, 1);132;135;160;11;False
212;(4, 4);(12, 13);140;145;162;30;False
213;(16, 11);(6, 9);141;150;163;14;False
222;(9, 13);(16, 8);149;151;163;31;False
217;(10, 6);(6, 1);147;151;166;35;False
218;(9, 9);(14, 1);147;151;166;17;False
221;(5, 5);(9, 5);149;150;166;33;False
211;(1, 4);(16, 6);138;142;167;22;False
214;(11, 5);(1, 10);142;146;167;32;False
223;(7, 3);(1, 6);150;154;167;28;False
236;(10, 4);(13, 4);159;159;167;18;False
209;(11, 9);(6, 13);137;147;168;27;False
224;(7, 12);(13, 3);150;153;168;15;False
231;(4, 6);(7, 10);155;161;168;34;False
235;(4, 7);(9, 1);157;157;168;23;False
227;(1, 2);(1, 1);154;156;169;21;False
215;(13, 11);(1, 7);144;152;173;16;False
219;(10, 12);(4, 3);148;154;173;13;False
230;(16, 2);(7, 11);154;154;173;12;False
206;(15, 5);(14, 5);137;161;174;25;False
216;(16, 7);(2, 9);145;153;174;39;False
220;(16, 4);(15, 13);148;153;174;19;False
229;(10, 3);(10, 10);154;155;174;20;False
239;(5, 9);(7, 7);163;164;174;14;False
226;(8, 9);(2, 5);153;156;175;24;False
232;(7, 6);(13, 6);155;163;175;26;False
225;(4, 8);(14, 9);151;157;176;38;False
244;(10, 8);(11, 13);167;170;176;33;False
234;(15, 9);(14, 13);157;169;177;30;False
250;(13, 3);(13, 4);169;169;181;15;False
248;(12, 9);(9, 13);168;174;182;18;False
251;(10, 4);(15, 1);169;172;183;23;False
253;(7, 12);(1, 10);170;174;184;12;False
243;(16, 10);(5, 13);167;171;185;22;False
257;(16, 12);(14, 5);175;176;185;19;False
233;(6, 5);(1, 12);155;172;187;36;False
237;(4, 11);(13, 8);159;175;187;10;False
255;(1, 4);(4, 6);174;176;187;16;False
228;(10, 11);(5, 1);154;166;188;29;False
240;(10, 2);(16, 8);164;171;188;37;False
249;(7, 3);(4, 4);169;180;188;13;False
245;(7, 8);(1, 8);168;178;190;27;False
261;(4, 7);(7, 10);175;184;190;39;False
252;(3, 5);(16, 3);169;175;191;21;False
246;(9, 5);(16, 13);168;172;193;11;False
268;(16, 2);(13, 7);183;185;193;23;False
241;(1, 3);(13, 10);164;173;195;35;False
258;(4, 10);(13, 11);175;179;195;34;False
247;(16, 11);(8, 5);168;178;196;17;False
263;(15, 5);(6, 9);176;178;196;26;False
238;(2, 13);(13, 2);161;171;197;32;False
269;(8, 9);(14, 9);184;189;197;18;False
242;(13, 12);(4, 2);167;177;199;31;False
272;(7, 2);(10, 4);186;191;199;29;False
256;(12, 5);(9, 9);174;189;200;33;False
254;(10, 6);(1, 13);174;185;201;28;False
262;(7, 4);(2, 5);176;189;201;20;False
273;(9, 13);(10, 7);188;195;202;39;False
260;(11, 9);(1, 7);175;180;203;14;False
282;(8, 13);(16, 13);194;195;203;36;False
277;(12, 9);(1, 10);189;191;204;19;False
279;(14, 1);(5, 1);191;195;204;21;False
265;(7, 7);(12, 13);177;188;205;24;False
276;(4, 4);(14, 5);189;189;205;13;False
281;(16, 12);(10, 8);192;194;205;11;False
259;(9, 1);(10, 12);175;187;209;25;False
267;(4, 3);(7, 11);182;194;209;12;False
270;(10, 3);(2, 1);185;194;209;38;False
264;(16, 4);(1, 2);177;191;210;30;False
266;(11, 1);(15, 13);178;186;210;15;False
284;(15, 1);(11, 5);196;200;210;32;False
286;(3, 9);(4, 12);197;199;210;26;False
295;(14, 9);(13, 10);203;209;211;36;False
271;(16, 10);(4, 8);186;190;212;37;False
278;(5, 5);(5, 13);189;196;212;22;False
291;(3, 5);(4, 2);200;202;212;27;False
280;(7, 3);(4, 11);191;199;214;17;False
275;(6, 5);(12, 1);188;202;216;10;False
285;(7, 12);(13, 8);196;204;216;23;False
296;(2, 13);(4, 7);204;208;216;19;False
274;(2, 9);(16, 1);188;192;217;16;False
283;(13, 6);(3, 1);194;202;217;34;False
290;(7, 10);(7, 8);200;203;217;33;False
289;(13, 7);(15, 5);198;208;219;18;False
294;(16, 3);(10, 2);202;209;219;13;False
288;(6, 1);(15, 9);198;202;221;31;False
300;(12, 9);(8, 5);206;213;223;39;False
319;(10, 4);(12, 5);218;221;224;13;False
292;(16, 7);(13, 12);201;213;225;35;False
299;(11, 9);(13, 2);205;215;225;14;False
287;(1, 11);(16, 6);197;203;226;28;False
297;(10, 10);(3, 13);204;216;226;20;False
293;(16, 2);(6, 9);202;209;227;29;False
301;(8, 13);(1, 8);206;212;228;12;False
313;(4, 2);(10, 3);213;213;228;27;False
308;(1, 3);(13, 4);211;211;229;30;False
309;(1, 12);(9, 9);211;217;229;22;False
311;(9, 1);(8, 1);213;228;229;23;False
298;(11, 13);(4, 6);205;211;230;25;False
304;(5, 9);(14, 5);210;214;230;26;False
307;(11, 1);(7, 7);211;216;232;32;False
314;(5, 5);(4, 8);215;220;232;38;False
329;(10, 10);(10, 11);227;231;232;22;False
303;(7, 4);(13, 11);210;212;233;11;False
305;(13, 3);(2, 1);210;220;233;24;False
310;(16, 8);(10, 8);212;220;236;15;False
302;(1, 6);(16, 12);206;213;237;21;False
324;(14, 9);(8, 5);224;227;237;16;False
316;(9, 13);(12, 1);217;221;239;17;False
320;(16, 10);(4, 12);218;223;239;31;False
322;(6, 5);(6, 13);220;225;239;39;False
325;(4, 7);(7, 3);225;231;239;29;False
306;(15, 1);(1, 4);211;219;241;10;False
321;(2, 5);(7, 12);220;225;241;33;False
327;(13, 10);(10, 4);226;226;241;36;False
340;(1, 12);(1, 13);233;241;242;25;False
323;(1, 10);(2, 9);222;229;243;34;False
326;(7, 2);(6, 1);226;231;244;23;False
330;(13, 6);(6, 9);228;234;246;27;False
312;(11, 5);(3, 9);213;230;247;37;False
339;(4, 8);(10, 2);233;233;247;38;False
317;(4, 10);(4, 3);217;229;248;19;False
343;(16, 13);(13, 7);237;238;248;21;False
318;(2, 13);(16, 11);218;227;249;20;False
331;(16, 7);(8, 9);229;234;249;18;False
315;(14, 13);(1, 7);217;227;250;35;False
337;(13, 2);(16, 1);231;240;250;26;False
345;(5, 5);(9, 1);238;240;251;16;False
362;(6, 9);(5, 9);250;251;252;18;False
338;(8, 1);(7, 6);233;242;253;12;False
341;(7, 7);(12, 13);234;242;254;14;False
328;(10, 12);(16, 6);227;241;255;28;False
334;(16, 3);(5, 13);230;234;255;13;False
336;(11, 13);(1, 11);231;235;255;22;False
342;(1, 2);(14, 1);234;235;255;24;False
333;(9, 5);(13, 12);230;240;256;15;False
344;(4, 6);(9, 9);238;249;257;30;False
348;(4, 11);(11, 1);240;240;258;31;False
349;(10, 11);(16, 12);240;247;258;33;False
351;(7, 10);(7, 3);242;243;259;39;False
352;(1, 4);(10, 6);242;242;260;10;False
332;(8, 13);(1, 1);229;239;262;32;False
369;(4, 12);(4, 7);256;257;262;13;False
335;(15, 13);(3, 1);230;237;263;11;False
346;(4, 2);(13, 3);240;246;263;29;False
357;(11, 5);(10, 4);248;251;264;38;False
364;(10, 2);(7, 12);251;253;266;16;False
353;(3, 5);(13, 4);243;250;267;34;False
350;(16, 4);(7, 11);242;253;269;36;False
355;(10, 7);(1, 12);245;255;269;23;False
354;(15, 5);(7, 4);244;252;270;21;False
363;(16, 11);(8, 9);251;260;270;14;False
371;(4, 10);(6, 5);256;263;270;22;False
383;(10, 4);(7, 3);265;265;270;38;False
347;(14, 9);(1, 3);240;249;272;17;False
356;(3, 13);(9, 13);247;253;272;27;False
366;(1, 10);(14, 13);253;257;273;18;False
358;(16, 8);(12, 5);248;267;274;28;False
359;(11, 9);(6, 1);249;256;274;25;False
368;(8, 5);(16, 1);255;260;274;37;False
361;(7, 2);(14, 5);250;260;275;39;False
367;(2, 5);(2, 13);254;265;275;12;False
375;(7, 8);(10, 10);259;268;275;26;False
382;(5, 1);(4, 2);264;273;275;29;False
391;(9, 5);(10, 3);271;274;277;21;False
378;(7, 6);(4, 8);261;272;280;31;False
379;(4, 4);(15, 1);263;266;280;13;False
365;(16, 7);(5, 5);252;263;281;24;False
360;(13, 8);(1, 8);249;260;282;20;False
374;(6, 13);(1, 2);258;266;282;30;False
376;(9, 9);(13, 11);259;264;283;10;False
377;(15, 9);(5, 13);260;268;284;33;False
381;(1, 7);(10, 11);264;271;284;11;False
393;(6, 5);(4, 7);273;273;284;22;False
373;(16, 10);(1, 11);257;263;285;15;False
370;(7, 7);(12, 1);256;269;287;35;False
384;(8, 13);(4, 3);267;268;287;16;False
397;(10, 12);(14, 9);275;277;287;26;False
388;(12, 9);(15, 5);271;281;288;36;False
380;(13, 12);(1, 13);263;275;289;19;False
392;(7, 12);(3, 5);273;277;290;23;False
385;(13, 6);(11, 13);268;281;291;34;False
372;(2, 9);(16, 2);256;272;293;32;False
399;(7, 2);(10, 2);276;281;293;17;False
390;(16, 11);(9, 1);271;277;294;18;False
401;(2, 13);(3, 1);276;276;294;12;False
