task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
1;(13, 4);(14, 5);0;1;3;26;False
5;(13, 3);(13, 6);0;1;4;27;False
9;(1, 7);(1, 4);0;4;7;14;False
25;(5, 1);(1, 2);0;4;9;18;False
3;(6, 9);(3, 13);0;3;10;22;False
20;(1, 6);(7, 11);0;3;14;10;False
4;(16, 3);(12, 5);0;9;15;28;False
21;(11, 5);(16, 8);0;7;15;19;False
8;(8, 9);(4, 4);0;7;16;30;False
22;(10, 8);(7, 12);0;10;17;20;False
14;(10, 3);(8, 5);0;14;18;11;False
6;(7, 10);(14, 1);0;3;19;24;False
10;(10, 6);(16, 2);0;9;19;31;False
2;(8, 13);(12, 1);0;4;20;23;False
19;(7, 7);(2, 9);0;11;22;15;False
12;(10, 10);(4, 8);0;8;23;32;False
15;(13, 2);(13, 12);0;12;23;21;False
17;(4, 3);(13, 10);0;9;25;12;False
23;(3, 1);(9, 13);0;7;26;13;False
26;(10, 12);(14, 13);4;20;26;26;False
18;(16, 6);(7, 2);0;9;28;29;False
29;(4, 6);(6, 5);10;18;29;18;False
13;(3, 5);(16, 12);0;10;31;16;False
28;(7, 4);(16, 7);8;20;32;14;False
27;(15, 13);(5, 13);5;14;35;27;False
11;(15, 5);(1, 10);0;18;39;25;False
24;(10, 4);(3, 9);0;21;39;17;False
36;(13, 6);(16, 8);19;34;41;11;False
40;(7, 8);(8, 9);23;38;41;15;False
44;(3, 1);(4, 4);27;31;41;32;False
30;(4, 11);(1, 1);11;25;42;22;False
39;(12, 1);(6, 13);21;21;43;23;False
16;(4, 2);(11, 13);0;23;44;34;False
38;(16, 2);(4, 12);20;20;45;31;False
43;(12, 9);(13, 4);26;40;46;12;False
7;(6, 1);(16, 13);0;21;47;33;False
34;(1, 7);(16, 10);17;29;47;30;False
46;(1, 4);(9, 5);29;39;48;29;False
31;(2, 5);(15, 1);15;30;49;10;False
33;(16, 1);(6, 9);16;31;49;28;False
41;(13, 12);(13, 2);24;37;49;16;False
42;(14, 5);(10, 11);24;39;49;21;False
35;(13, 3);(13, 7);18;36;50;20;False
45;(12, 5);(10, 3);27;39;51;13;False
37;(5, 9);(5, 1);20;43;53;24;False
47;(7, 7);(4, 8);30;44;54;18;False
32;(3, 13);(7, 3);16;35;55;19;False
53;(15, 13);(16, 8);42;53;59;15;False
54;(16, 12);(8, 9);42;46;59;11;False
56;(7, 2);(10, 8);43;51;60;22;False
50;(14, 1);(16, 4);36;59;64;27;False
57;(3, 9);(2, 1);44;53;64;23;False
69;(3, 5);(1, 4);52;62;65;13;False
49;(6, 5);(13, 11);33;50;67;14;False
58;(12, 13);(2, 13);45;46;68;34;False
66;(13, 10);(13, 12);50;68;70;16;False
68;(8, 13);(6, 9);51;63;70;20;False
63;(11, 13);(7, 8);49;59;73;29;False
65;(13, 6);(2, 9);50;59;73;10;False
48;(1, 2);(11, 1);32;57;74;26;False
62;(12, 9);(6, 13);48;62;74;12;False
52;(10, 7);(1, 3);40;62;79;17;False
55;(1, 11);(10, 4);42;59;79;32;False
61;(8, 5);(1, 1);48;69;80;30;False
78;(2, 1);(10, 2);66;70;80;13;False
72;(9, 9);(4, 10);56;65;81;19;False
60;(1, 12);(1, 10);47;71;83;33;False
75;(13, 4);(7, 4);61;71;83;22;False
64;(16, 10);(7, 6);50;72;85;28;False
71;(16, 1);(13, 7);55;76;85;18;False
51;(16, 3);(4, 3);40;70;86;25;False
59;(4, 4);(10, 12);46;65;86;31;False
73;(3, 13);(10, 10);60;68;86;11;False
67;(1, 7);(7, 12);50;69;87;21;False
70;(16, 7);(6, 1);54;72;92;24;False
93;(6, 5);(3, 5);84;86;92;22;False
82;(2, 13);(8, 9);71;82;94;34;False
80;(5, 5);(1, 6);69;78;95;20;False
85;(13, 2);(7, 10);75;78;96;26;False
79;(11, 5);(3, 9);68;82;98;14;False
81;(13, 3);(10, 3);71;92;99;16;False
74;(15, 9);(5, 9);60;81;101;15;False
76;(14, 1);(14, 13);65;85;101;23;False
88;(10, 8);(14, 9);80;98;103;17;False
86;(10, 11);(4, 12);75;95;104;12;False
94;(4, 8);(7, 6);86;95;104;28;False
77;(4, 11);(13, 8);65;90;106;27;False
87;(12, 5);(1, 8);80;92;106;32;False
84;(16, 2);(4, 6);74;91;110;29;False
89;(7, 3);(7, 8);81;95;111;30;False
91;(16, 6);(13, 12);82;99;111;19;False
101;(1, 2);(7, 7);93;98;112;22;False
92;(16, 11);(16, 13);84;111;113;33;False
83;(13, 10);(3, 1);74;96;115;10;False
105;(3, 5);(1, 6);99;107;118;14;False
104;(6, 13);(6, 1);97;102;119;26;False
98;(1, 4);(1, 12);87;100;121;25;False
90;(11, 13);(1, 13);81;100;123;13;False
95;(4, 2);(9, 13);86;105;123;21;False
97;(16, 3);(10, 7);87;109;123;11;False
106;(5, 5);(9, 5);100;113;129;16;False
108;(2, 9);(12, 9);102;105;129;15;False
96;(16, 1);(1, 10);87;106;130;31;False
102;(1, 1);(2, 1);95;116;130;34;False
114;(10, 8);(14, 5);111;123;130;29;False
115;(7, 11);(13, 8);112;120;130;19;False
99;(4, 3);(4, 10);88;114;131;18;False
100;(10, 10);(1, 3);93;110;132;24;False
117;(4, 12);(7, 3);113;121;135;22;False
107;(13, 4);(14, 13);102;115;136;23;False
112;(6, 9);(12, 13);107;122;136;27;False
103;(15, 13);(10, 2);96;120;138;20;False
109;(9, 9);(15, 1);104;122;140;17;False
110;(16, 10);(13, 7);105;128;140;28;False
111;(16, 12);(4, 8);105;122;140;12;False
116;(7, 4);(10, 12);112;123;140;30;False
126;(12, 9);(10, 3);130;130;140;15;False
118;(16, 8);(4, 6);114;125;141;33;False
121;(11, 5);(8, 13);120;128;144;26;False
120;(3, 9);(13, 6);119;132;147;10;False
119;(7, 6);(1, 2);116;132;148;14;False
122;(6, 5);(16, 6);122;137;148;25;False
133;(6, 1);(4, 7);133;139;150;24;False
125;(16, 3);(4, 2);124;137;152;11;False
113;(1, 7);(12, 1);107;124;153;32;False
131;(2, 5);(2, 9);131;148;154;16;False
123;(13, 10);(8, 9);124;149;155;13;False
124;(16, 11);(5, 1);124;133;155;21;False
130;(5, 9);(4, 11);131;142;155;31;False
128;(16, 4);(16, 13);131;134;156;29;False
127;(11, 1);(1, 12);130;139;160;19;False
132;(14, 9);(9, 5);132;149;163;18;False
141;(4, 10);(3, 5);141;146;163;33;False
137;(10, 6);(1, 11);139;151;166;20;False
