task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
39;(7, 3);(5, 1);0;0;4;18;False
21;(1, 10);(4, 8);0;2;7;15;False
3;(6, 5);(4, 3);0;5;9;20;False
13;(7, 11);(4, 6);0;0;10;21;False
18;(12, 13);(11, 9);0;3;10;27;False
40;(1, 11);(9, 9);0;0;10;14;False
15;(13, 4);(12, 1);0;1;11;24;False
33;(14, 1);(16, 6);0;4;11;25;False
1;(7, 12);(6, 9);0;2;12;22;False
14;(1, 4);(7, 10);0;1;13;10;False
27;(14, 13);(12, 9);0;4;14;28;False
17;(16, 11);(16, 4);0;9;16;29;False
46;(9, 9);(11, 13);11;11;16;14;False
2;(3, 9);(1, 2);0;7;18;17;False
6;(7, 8);(16, 7);0;5;19;23;False
9;(4, 7);(5, 9);0;8;19;15;False
24;(2, 5);(10, 11);0;4;19;11;False
35;(7, 2);(13, 10);0;2;19;19;False
41;(1, 3);(1, 6);5;16;19;20;False
16;(2, 1);(12, 5);0;6;20;13;False
32;(14, 5);(4, 2);0;5;24;26;False
45;(11, 9);(5, 13);11;11;24;27;False
22;(16, 8);(7, 7);0;13;25;25;False
19;(3, 5);(16, 12);0;6;27;12;False
48;(12, 1);(6, 1);12;12;27;24;False
58;(10, 11);(6, 9);20;20;29;11;False
8;(1, 8);(15, 13);0;5;31;16;False
29;(7, 6);(1, 12);0;16;32;22;False
36;(3, 1);(16, 10);0;6;32;18;False
4;(4, 10);(15, 9);0;14;33;21;False
44;(7, 11);(13, 3);11;14;33;10;False
11;(8, 9);(16, 3);0;18;34;28;False
59;(12, 9);(13, 4);20;25;35;23;False
47;(4, 6);(1, 1);12;28;36;20;False
49;(4, 3);(3, 13);13;25;36;26;False
51;(14, 13);(7, 10);15;19;36;14;False
10;(4, 11);(14, 9);0;22;38;15;False
53;(6, 5);(9, 9);17;28;39;25;False
62;(11, 9);(16, 6);25;27;39;13;False
57;(5, 1);(1, 10);20;23;40;17;False
54;(13, 2);(7, 12);19;23;41;29;False
60;(5, 9);(2, 1);21;30;42;11;False
68;(1, 12);(7, 7);33;33;43;22;False
42;(4, 4);(13, 6);8;32;44;24;False
56;(12, 13);(1, 3);20;23;44;19;False
79;(16, 6);(14, 9);40;40;44;13;False
52;(1, 4);(4, 8);17;39;46;20;False
64;(13, 10);(7, 3);28;34;47;12;False
71;(16, 12);(7, 11);34;34;47;16;False
72;(15, 13);(16, 7);35;36;47;18;False
76;(12, 9);(16, 8);37;42;47;25;False
73;(13, 4);(15, 9);36;36;50;23;False
38;(8, 1);(11, 5);0;40;51;10;False
90;(6, 9);(8, 9);48;49;51;20;False
34;(15, 5);(16, 13);0;40;53;21;False
50;(2, 13);(14, 1);14;27;53;27;False
88;(12, 9);(10, 11);48;48;53;24;False
70;(14, 5);(16, 10);34;46;55;15;False
80;(1, 10);(7, 6);41;41;56;17;False
83;(1, 1);(5, 1);44;44;56;11;False
5;(10, 2);(6, 13);0;43;58;28;False
43;(1, 13);(11, 1);10;38;60;26;False
81;(6, 1);(4, 6);42;51;60;19;False
55;(7, 2);(13, 8);20;48;62;12;False
66;(5, 13);(12, 1);30;41;63;14;False
82;(9, 9);(2, 1);43;46;63;29;False
78;(6, 5);(13, 3);40;47;65;22;False
93;(16, 8);(16, 4);52;61;65;25;False
91;(14, 9);(4, 4);48;51;67;23;False
69;(7, 4);(4, 2);33;61;68;11;False
25;(9, 13);(13, 11);0;56;70;24;False
84;(14, 13);(7, 12);45;50;70;13;False
100;(14, 5);(16, 10);57;61;70;27;False
101;(6, 13);(7, 11);59;59;70;28;False
97;(16, 12);(4, 11);54;54;71;21;False
98;(10, 11);(15, 5);56;56;71;20;False
26;(5, 5);(10, 12);0;59;73;17;False
86;(13, 2);(1, 3);45;57;73;10;False
94;(13, 6);(1, 4);52;53;74;18;False
113;(11, 5);(7, 4);71;71;75;14;False
103;(4, 6);(3, 1);61;61;76;19;False
74;(4, 3);(2, 5);37;68;78;23;False
23;(10, 4);(16, 2);0;70;80;26;False
67;(7, 8);(12, 5);32;74;82;13;False
77;(3, 13);(16, 1);39;53;83;16;False
104;(10, 2);(13, 8);63;75;84;25;False
63;(1, 7);(4, 7);26;78;85;11;False
87;(11, 9);(1, 2);47;67;85;15;False
102;(15, 13);(4, 8);61;71;87;12;False
30;(4, 12);(13, 7);0;72;88;21;False
65;(3, 5);(1, 6);28;77;88;10;False
116;(16, 12);(7, 7);72;72;88;27;False
118;(5, 1);(8, 9);74;78;89;19;False
106;(16, 6);(5, 13);64;71;90;22;False
99;(1, 1);(16, 13);57;64;91;29;False
119;(9, 13);(13, 6);75;75;91;17;False
92;(16, 7);(1, 8);51;74;92;20;False
110;(14, 9);(6, 5);69;81;93;24;False
111;(4, 2);(7, 12);71;82;95;18;False
115;(7, 6);(6, 1);72;89;95;27;False
123;(4, 6);(11, 5);81;81;95;23;False
112;(14, 5);(13, 11);71;89;96;16;False
117;(13, 2);(11, 1);74;85;96;14;False
96;(2, 13);(15, 9);54;77;97;28;False
127;(11, 9);(3, 13);86;87;99;25;False
126;(2, 5);(4, 4);85;89;100;11;False
136;(5, 5);(13, 4);92;92;100;12;False
122;(4, 11);(1, 4);79;93;103;22;False
132;(4, 3);(13, 7);89;91;105;15;False
134;(16, 10);(10, 4);91;94;106;29;False
141;(11, 5);(8, 1);96;96;106;23;False
131;(1, 2);(12, 5);89;92;108;10;False
114;(16, 8);(2, 1);71;86;109;26;False
133;(14, 13);(12, 1);90;93;111;13;False
28;(8, 13);(9, 1);0;97;112;18;False
85;(12, 13);(3, 9);45;99;112;16;False
7;(10, 3);(15, 1);0;107;114;29;False
120;(10, 11);(1, 3);76;93;114;19;False
130;(16, 2);(15, 13);89;102;114;14;False
143;(7, 6);(5, 13);97;105;114;11;False
145;(16, 12);(13, 6);100;103;114;17;False
137;(16, 6);(4, 12);93;95;115;21;False
147;(8, 9);(7, 7);101;112;115;15;False
109;(1, 13);(7, 3);68;101;117;25;False
142;(4, 7);(11, 1);97;100;117;20;False
156;(9, 1);(4, 2);113;113;118;18;False
135;(3, 1);(7, 8);92;108;119;22;False
144;(6, 1);(13, 11);98;101;119;24;False
159;(1, 8);(2, 5);115;115;119;16;False
125;(7, 4);(16, 4);84;110;121;23;False
139;(1, 7);(14, 9);96;107;122;27;False
161;(16, 2);(11, 5);115;116;124;29;False
152;(12, 5);(4, 3);109;109;125;10;False
160;(7, 6);(4, 11);115;116;126;15;False
163;(4, 12);(10, 11);116;116;126;21;False
128;(10, 2);(16, 1);86;114;127;13;False
140;(13, 10);(1, 6);96;111;127;28;False
162;(16, 10);(15, 13);116;124;128;14;False
148;(13, 2);(11, 9);104;120;129;20;False
166;(9, 1);(13, 4);119;121;129;25;False
146;(14, 5);(1, 1);101;112;130;12;False
154;(6, 5);(5, 5);112;119;132;26;False
174;(4, 4);(1, 7);127;127;132;10;False
150;(16, 13);(13, 7);107;124;133;24;False
167;(2, 5);(15, 1);120;120;137;16;False
173;(1, 3);(4, 3);126;130;137;28;False
12;(10, 8);(13, 12);0;124;138;22;False
31;(10, 6);(9, 5);0;126;138;29;False
149;(3, 13);(16, 7);106;116;139;11;False
129;(10, 12);(4, 8);88;127;140;21;False
178;(12, 13);(14, 9);129;131;141;14;False
89;(1, 12);(7, 10);48;132;142;15;False
155;(10, 4);(2, 13);113;119;142;17;False
157;(1, 2);(16, 12);115;115;142;19;False
171;(8, 1);(1, 4);123;129;146;18;False
180;(16, 2);(12, 5);130;139;146;16;False
177;(8, 9);(13, 10);128;132;147;20;False
175;(4, 7);(7, 6);127;141;148;21;False
164;(16, 6);(5, 13);118;127;149;27;False
183;(4, 4);(14, 5);133;138;149;28;False
188;(9, 5);(16, 1);139;139;149;29;False
189;(10, 6);(6, 5);140;140;150;24;False
169;(1, 8);(14, 13);120;133;152;10;False
187;(15, 13);(13, 12);139;141;152;22;False
158;(10, 3);(15, 9);115;135;153;25;False
179;(9, 1);(13, 11);130;140;155;26;False
170;(6, 1);(7, 3);122;145;156;13;False
182;(10, 2);(4, 12);133;138;158;23;False
107;(1, 10);(7, 2);66;139;159;12;False
165;(7, 7);(13, 6);118;149;160;21;False
124;(7, 11);(13, 3);83;143;161;15;False
203;(12, 5);(11, 5);153;161;162;14;False
184;(1, 13);(16, 10);134;143;163;17;False
194;(11, 9);(2, 5);143;150;163;20;False
200;(14, 5);(10, 4);150;150;164;28;False
186;(16, 13);(1, 6);138;143;165;19;False
190;(10, 12);(10, 8);141;161;165;26;False
198;(2, 13);(7, 6);149;152;166;27;False
192;(1, 3);(13, 7);143;147;167;18;False
151;(4, 6);(13, 8);107;153;168;24;False
61;(11, 13);(16, 11);25;156;169;11;False
196;(12, 13);(5, 5);147;154;169;22;False
197;(15, 1);(4, 8);148;150;170;29;False
208;(4, 12);(5, 13);159;159;170;23;False
199;(16, 12);(4, 4);150;155;176;10;False
20;(8, 5);(2, 9);0;167;177;28;False
209;(14, 13);(9, 1);160;160;177;25;False
