task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
8;(1, 7);(1, 8);0;4;5;10;False
10;(7, 3);(10, 4);0;0;6;18;False
4;(4, 12);(10, 11);0;6;17;14;False
3;(7, 12);(13, 2);0;2;20;22;False
5;(4, 2);(6, 9);0;12;21;24;False
2;(1, 6);(11, 1);0;6;22;15;False
9;(4, 3);(12, 9);0;8;22;11;False
1;(8, 1);(10, 6);0;15;24;27;False
12;(9, 5);(9, 1);7;19;25;18;False
7;(16, 13);(7, 11);0;11;26;21;False
6;(5, 1);(16, 10);0;5;29;19;False
17;(5, 13);(4, 12);23;36;38;11;False
11;(16, 6);(16, 12);6;25;39;10;False
14;(10, 2);(2, 1);21;26;41;22;False
18;(12, 9);(16, 1);25;30;42;27;False
15;(7, 3);(13, 7);22;30;44;24;False
19;(4, 11);(6, 13);26;42;46;18;False
20;(6, 9);(1, 7);27;37;50;21;False
16;(7, 8);(1, 3);23;39;52;15;False
13;(1, 4);(10, 3);18;40;54;14;False
22;(9, 9);(16, 8);39;47;55;11;False
24;(1, 8);(8, 13);42;50;62;22;False
27;(10, 10);(1, 13);47;54;68;18;False
26;(14, 1);(8, 5);45;60;70;24;False
21;(3, 1);(7, 6);30;58;71;19;False
23;(10, 6);(1, 12);40;54;71;10;False
29;(7, 3);(6, 13);53;63;74;15;False
28;(11, 5);(10, 11);51;67;78;21;False
30;(13, 8);(2, 13);55;63;79;14;False
31;(4, 8);(7, 10);56;74;79;11;False
25;(7, 12);(9, 1);43;63;80;27;False
32;(10, 3);(4, 6);63;75;89;22;False
34;(4, 2);(10, 8);71;78;93;24;False
36;(16, 11);(13, 10);72;92;98;10;False
33;(12, 13);(13, 4);69;89;99;18;False
40;(14, 13);(12, 9);80;90;100;11;False
35;(16, 7);(4, 4);72;86;101;19;False
39;(7, 6);(9, 9);80;94;103;14;False
37;(2, 1);(1, 11);75;93;104;15;False
41;(13, 12);(11, 9);81;101;110;27;False
42;(16, 8);(12, 5);90;106;113;22;False
38;(1, 4);(11, 1);79;101;114;21;False
43;(6, 9);(10, 8);94;100;115;24;False
51;(9, 5);(8, 5);114;118;119;22;False
44;(1, 7);(15, 13);99;103;123;13;False
45;(2, 13);(5, 5);100;112;125;10;False
48;(10, 11);(8, 13);104;115;125;14;False
46;(5, 1);(14, 9);101;110;129;18;False
54;(7, 11);(3, 13);120;127;133;22;False
47;(13, 8);(14, 1);102;122;136;19;False
50;(13, 12);(6, 1);111;116;136;27;False
49;(1, 8);(16, 4);105;122;141;11;False
52;(16, 11);(1, 13);115;131;148;21;False
56;(8, 1);(1, 7);126;133;150;10;False
53;(1, 6);(16, 12);116;130;153;24;False
57;(16, 13);(4, 7);126;134;153;14;False
55;(14, 13);(5, 9);124;138;156;13;False
61;(13, 3);(11, 1);137;154;158;27;False
62;(16, 2);(16, 10);142;144;161;11;False
58;(4, 10);(13, 11);130;151;163;18;False
60;(6, 13);(4, 8);137;158;165;19;False
59;(13, 4);(9, 5);134;157;168;22;False
66;(7, 7);(13, 12);154;161;172;14;False
63;(10, 3);(6, 5);149;168;178;21;False
65;(5, 13);(8, 5);154;166;179;24;False
