task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
3;(4, 7);(5, 9);0;7;11;10;False
4;(7, 6);(9, 13);0;3;12;18;False
8;(2, 1);(7, 4);0;4;12;11;False
2;(14, 9);(13, 10);0;4;16;28;False
6;(4, 11);(1, 11);0;9;16;16;False
9;(14, 5);(15, 13);0;5;16;26;False
7;(1, 8);(10, 4);0;4;17;15;False
1;(1, 13);(9, 5);0;2;18;14;False
12;(7, 6);(3, 9);13;15;22;11;False
10;(7, 12);(16, 1);0;1;23;21;False
11;(14, 13);(16, 11);12;13;23;29;False
5;(16, 13);(4, 6);0;5;25;27;False
13;(3, 1);(11, 1);13;17;25;13;False
14;(12, 13);(13, 11);17;19;30;26;False
15;(13, 8);(4, 10);17;18;35;28;False
16;(1, 7);(10, 7);17;22;35;16;False
18;(10, 10);(5, 13);19;27;35;23;False
23;(3, 9);(3, 13);26;27;35;17;False
21;(10, 12);(13, 10);24;29;36;10;False
22;(15, 13);(9, 9);26;26;37;29;False
20;(13, 2);(14, 9);24;25;39;24;False
17;(2, 9);(8, 1);18;23;41;11;False
19;(1, 6);(4, 2);23;30;43;27;False
27;(13, 3);(7, 10);36;36;49;21;False
29;(4, 11);(1, 4);37;37;50;28;False
30;(7, 12);(13, 8);38;39;50;18;False
25;(1, 11);(16, 13);36;36;53;12;False
33;(3, 13);(4, 8);44;48;54;23;False
28;(16, 4);(6, 1);36;40;55;13;False
31;(5, 1);(10, 3);40;44;57;15;False
32;(16, 6);(13, 7);42;51;57;26;False
24;(14, 1);(2, 1);31;34;58;25;False
26;(9, 1);(6, 13);36;40;58;20;False
39;(10, 8);(15, 5);56;58;66;29;False
35;(10, 12);(4, 10);51;59;69;22;False
37;(15, 9);(9, 5);54;58;69;12;False
40;(1, 4);(12, 5);58;59;71;27;False
34;(16, 11);(6, 5);50;51;72;10;False
38;(3, 13);(2, 13);55;59;72;17;False
43;(16, 6);(7, 6);59;62;75;24;False
41;(5, 1);(10, 4);58;64;76;15;False
44;(9, 1);(11, 5);67;71;77;19;False
36;(11, 1);(1, 7);51;57;78;14;False
47;(1, 11);(4, 12);72;72;78;20;False
45;(5, 9);(5, 5);70;71;79;22;False
48;(1, 4);(6, 5);73;74;80;28;False
42;(13, 12);(6, 1);59;62;82;26;False
46;(14, 13);(15, 9);70;80;87;21;False
57;(1, 7);(1, 11);83;85;89;22;False
51;(1, 6);(4, 3);77;78;92;10;False
49;(6, 9);(16, 2);73;73;94;16;False
56;(1, 2);(2, 13);81;81;99;25;False
50;(13, 11);(7, 7);76;86;100;24;False
55;(5, 1);(12, 1);80;83;100;26;False
54;(15, 1);(8, 9);79;84;101;27;False
52;(13, 7);(2, 1);78;81;102;19;False
58;(4, 4);(13, 2);88;89;103;23;False
60;(12, 13);(9, 13);93;102;105;29;False
61;(7, 3);(15, 5);95;95;105;12;False
59;(14, 13);(7, 12);90;90;110;18;False
53;(16, 13);(10, 12);79;96;111;21;False
66;(16, 6);(14, 9);103;106;111;16;False
62;(3, 5);(2, 5);100;105;118;10;False
65;(1, 12);(13, 4);102;102;123;25;False
71;(4, 8);(1, 3);112;115;123;29;False
63;(10, 8);(7, 2);101;112;124;27;False
67;(15, 1);(8, 13);104;106;127;23;False
64;(15, 13);(8, 5);101;115;130;12;False
70;(4, 6);(7, 12);111;121;130;10;False
69;(14, 1);(9, 13);106;114;131;26;False
68;(13, 11);(12, 1);106;114;133;16;False
75;(7, 10);(3, 13);124;125;134;18;False
72;(13, 8);(1, 13);112;118;141;21;False
73;(13, 3);(3, 5);119;124;142;25;False
74;(7, 8);(1, 8);124;133;145;28;False
80;(12, 13);(14, 5);132;136;147;10;False
76;(11, 1);(1, 11);125;125;149;11;False
81;(15, 13);(16, 12);134;148;150;23;False
79;(2, 13);(8, 13);131;135;151;18;False
82;(7, 3);(7, 11);135;135;153;15;False
77;(4, 3);(16, 13);128;135;157;29;False
88;(7, 4);(4, 2);151;151;157;12;False
85;(4, 7);(10, 6);146;151;160;28;False
83;(9, 13);(1, 6);142;145;161;26;False
78;(13, 4);(1, 12);131;136;164;27;False
93;(13, 11);(12, 13);161;161;164;23;False
89;(2, 1);(9, 5);152;155;166;25;False
87;(9, 9);(10, 10);150;158;170;18;False
86;(10, 7);(16, 3);148;157;171;24;False
90;(6, 13);(7, 2);154;156;172;15;False
96;(1, 2);(6, 1);165;166;172;26;False
84;(16, 4);(4, 11);143;149;174;16;False
92;(7, 11);(11, 9);158;165;175;13;False
95;(16, 7);(16, 10);165;173;176;29;False
91;(6, 5);(1, 4);158;164;180;19;False
97;(2, 9);(10, 12);167;171;182;17;False
102;(6, 9);(3, 1);175;176;187;23;False
101;(4, 6);(14, 5);173;177;188;20;False
94;(1, 13);(14, 1);162;164;189;21;False
98;(9, 13);(15, 5);171;176;190;28;False
103;(10, 8);(15, 13);176;183;193;15;False
104;(5, 13);(3, 9);177;184;194;11;False
105;(1, 7);(10, 4);181;182;194;14;False
109;(16, 7);(15, 9);190;192;195;20;False
106;(9, 5);(8, 13);183;188;199;26;False
108;(1, 1);(7, 8);189;189;202;23;False
99;(16, 12);(4, 2);172;178;203;29;False
110;(16, 4);(12, 5);191;192;204;28;False
100;(3, 13);(16, 2);173;177;205;16;False
107;(12, 13);(7, 3);188;191;206;18;False
113;(16, 11);(15, 13);195;196;207;15;False
114;(14, 9);(11, 1);196;196;208;20;False
115;(1, 13);(8, 13);200;202;209;11;False
111;(5, 9);(7, 4);194;202;211;17;False
121;(14, 1);(13, 8);208;208;216;16;False
118;(7, 8);(4, 6);205;210;217;26;False
112;(15, 1);(10, 12);195;199;219;10;False
116;(15, 9);(13, 2);203;210;220;24;False
119;(4, 2);(1, 4);206;214;221;19;False
117;(1, 1);(7, 12);204;206;223;12;False
124;(16, 7);(14, 5);212;214;224;13;False
122;(16, 8);(10, 2);209;213;225;15;False
120;(4, 10);(3, 1);207;217;227;22;False
123;(10, 7);(8, 9);210;216;227;23;False
127;(5, 5);(6, 1);220;221;228;29;False
126;(16, 4);(12, 1);218;224;231;21;False
