task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
1;(1, 11);(5, 9);0;0;6;14;False
2;(7, 11);(3, 13);0;0;6;21;False
3;(13, 3);(7, 6);0;0;9;24;False
4;(13, 10);(7, 7);0;1;10;27;False
5;(3, 1);(4, 4);0;7;11;13;False
9;(7, 4);(1, 8);0;1;14;18;False
6;(10, 7);(7, 10);0;9;16;20;False
7;(13, 6);(16, 3);0;4;16;25;True
8;(14, 13);(13, 11);0;5;16;29;False
10;(5, 1);(4, 11);0;5;16;19;False
25;(3, 5);(2, 5);12;15;16;13;False
15;(8, 13);(14, 5);0;5;19;23;False
12;(1, 10);(8, 1);0;4;20;17;False
14;(11, 9);(16, 1);0;5;20;28;False
13;(7, 12);(1, 3);0;2;21;22;False
17;(1, 13);(6, 1);0;4;21;16;True
11;(1, 12);(4, 3);0;2;22;15;False
24;(7, 3);(6, 5);11;12;23;12;False
18;(10, 11);(9, 9);0;15;26;14;False
19;(3, 9);(16, 4);0;8;26;10;False
16;(5, 13);(7, 8);0;18;27;24;False
20;(16, 7);(4, 12);0;9;29;26;False
27;(11, 1);(16, 2);17;23;29;17;True
23;(4, 7);(3, 13);10;15;30;11;False
32;(14, 1);(12, 9);20;20;30;25;False
31;(4, 10);(4, 4);18;25;31;20;False
30;(10, 3);(6, 9);17;18;32;27;False
37;(8, 5);(8, 1);24;25;33;12;True
21;(15, 5);(12, 5);7;20;34;23;False
26;(1, 11);(2, 13);16;23;34;19;False
42;(11, 9);(8, 9);29;31;34;25;False
33;(5, 9);(5, 5);20;28;36;18;False
28;(7, 2);(1, 2);17;23;37;16;False
22;(16, 8);(12, 13);7;26;41;29;False
38;(7, 6);(13, 10);24;29;41;24;False
29;(13, 7);(4, 6);17;29;43;28;False
36;(9, 5);(2, 1);22;32;44;14;False
39;(4, 3);(15, 9);24;27;44;13;False
34;(1, 6);(9, 1);21;30;45;21;False
41;(7, 12);(13, 8);28;35;45;11;False
49;(3, 9);(1, 11);35;42;46;18;False
43;(14, 9);(7, 7);30;38;47;17;False
44;(11, 1);(12, 1);31;34;47;10;False
35;(10, 2);(1, 3);22;33;48;22;False
46;(1, 13);(9, 9);32;35;48;19;False
54;(8, 1);(8, 5);40;42;50;15;False
47;(4, 10);(16, 12);34;35;51;27;True
40;(7, 4);(16, 10);26;37;52;12;False
51;(13, 11);(10, 8);37;42;52;24;False
55;(4, 2);(8, 9);41;42;53;16;False
45;(1, 1);(12, 9);31;37;56;20;False
53;(16, 11);(16, 7);38;52;56;27;False
50;(11, 9);(4, 12);35;41;58;23;False
61;(3, 5);(7, 6);48;53;58;14;False
56;(10, 12);(4, 3);44;44;59;29;False
57;(15, 9);(6, 13);44;44;59;13;True
52;(11, 5);(15, 1);38;50;60;11;False
64;(10, 3);(9, 5);51;54;65;17;False
67;(7, 8);(16, 6);54;54;66;28;True
48;(14, 13);(7, 3);34;46;67;25;False
58;(16, 13);(13, 3);44;55;68;12;False
62;(1, 8);(9, 13);48;55;68;22;False
65;(15, 5);(10, 2);51;58;70;19;False
70;(3, 9);(2, 1);57;59;70;15;False
72;(5, 13);(7, 11);59;60;70;13;False
60;(16, 2);(7, 10);45;53;71;21;False
63;(4, 6);(3, 13);49;58;72;18;False
75;(8, 5);(5, 5);61;70;73;14;False
59;(14, 5);(1, 10);44;53;76;26;False
68;(1, 7);(10, 8);55;65;77;10;False
66;(12, 1);(4, 11);51;61;82;24;False
82;(4, 2);(7, 2);68;73;82;25;False
69;(2, 13);(8, 13);56;67;84;16;False
76;(12, 5);(8, 1);62;74;84;20;False
78;(7, 6);(4, 8);65;78;85;19;False
80;(11, 1);(10, 10);67;71;85;17;False
74;(13, 6);(3, 5);60;69;86;11;False
81;(1, 13);(16, 11);67;68;86;23;False
91;(4, 7);(8, 13);76;76;87;14;False
79;(16, 1);(11, 13);65;71;88;28;False
71;(16, 4);(1, 12);57;59;91;27;False
77;(13, 7);(10, 11);63;85;92;10;True
86;(13, 4);(13, 11);72;85;92;15;False
92;(13, 8);(9, 13);77;77;93;22;False
84;(15, 5);(10, 12);70;78;94;12;False
85;(3, 9);(9, 5);72;80;95;13;False
97;(5, 5);(10, 4);85;89;95;19;True
73;(4, 12);(15, 1);59;74;96;18;False
83;(1, 11);(10, 2);68;74;96;29;False
87;(12, 13);(2, 13);72;79;99;21;True
90;(14, 1);(16, 12);75;90;103;25;False
111;(5, 13);(4, 10);100;100;103;10;False
94;(6, 13);(2, 1);80;86;104;24;False
105;(8, 13);(1, 10);95;95;104;22;False
96;(15, 13);(14, 13);84;93;106;17;False
102;(10, 3);(4, 3);92;96;106;19;False
89;(5, 9);(14, 9);74;98;107;27;False
109;(7, 7);(8, 1);99;99;107;28;False
101;(9, 5);(4, 11);91;95;108;13;False
88;(2, 9);(13, 10);73;88;109;26;False
95;(9, 9);(16, 10);81;92;110;16;False
107;(4, 7);(4, 8);96;97;110;11;True
99;(11, 9);(7, 8);89;94;111;14;False
103;(13, 2);(8, 9);93;101;113;29;False
106;(1, 2);(4, 4);96;106;113;24;False
98;(4, 6);(13, 3);88;96;114;20;False
104;(16, 3);(1, 4);94;94;114;23;False
110;(13, 6);(6, 9);99;103;116;12;False
93;(16, 2);(7, 11);78;98;118;18;False
120;(10, 11);(14, 13);109;112;118;10;False
117;(11, 13);(4, 10);107;109;119;25;True
119;(5, 9);(13, 4);109;109;122;22;False
114;(8, 5);(15, 1);103;112;123;19;False
108;(16, 6);(3, 9);98;104;124;15;False
112;(14, 5);(16, 11);101;116;124;26;False
100;(3, 13);(7, 6);90;111;126;13;False
113;(1, 3);(2, 9);101;110;126;21;False
116;(1, 8);(4, 12);107;118;127;23;False
115;(14, 9);(3, 5);105;107;128;27;False
128;(16, 10);(13, 7);118;123;129;10;False
118;(5, 1);(13, 11);107;117;135;24;False
122;(4, 11);(6, 5);111;120;135;12;False
134;(6, 1);(4, 4);127;132;137;22;False
140;(13, 4);(11, 1);132;132;137;19;False
126;(5, 5);(16, 13);117;117;138;14;False
121;(9, 9);(10, 6);111;128;139;18;False
123;(14, 1);(1, 6);113;117;140;20;False
127;(3, 13);(7, 3);118;122;140;29;True
135;(12, 13);(10, 6);127;130;140;26;False
133;(1, 8);(10, 3);124;127;141;15;False
139;(8, 9);(13, 11);131;134;141;17;False
130;(2, 5);(11, 9);122;127;142;25;False
138;(9, 5);(7, 7);131;136;142;10;False
125;(13, 12);(1, 2);115;117;143;16;False
124;(1, 12);(16, 8);115;123;144;11;False
129;(13, 8);(2, 1);119;127;148;28;False
132;(10, 7);(10, 2);124;132;148;13;False
137;(1, 13);(1, 11);130;137;149;23;True
131;(1, 4);(16, 1);123;132;150;21;False
136;(2, 13);(10, 10);130;141;152;27;False
149;(7, 3);(2, 9);145;145;156;29;False
145;(13, 6);(16, 3);143;146;158;19;False
156;(10, 10);(15, 9);152;152;158;27;False
148;(4, 4);(7, 4);144;150;159;16;False
141;(3, 1);(9, 1);135;142;160;12;False
142;(11, 5);(1, 10);135;142;161;26;False
153;(9, 13);(4, 3);147;147;162;18;False
144;(12, 1);(6, 13);138;145;165;15;False
146;(12, 13);(15, 1);143;146;165;17;False
147;(4, 12);(16, 6);143;147;165;24;True
152;(13, 10);(14, 1);146;146;165;25;False
143;(7, 12);(16, 4);137;147;166;10;False
158;(5, 1);(6, 1);153;154;167;13;False
151;(6, 5);(1, 2);146;161;169;16;False
157;(15, 5);(7, 11);152;155;169;21;True
150;(5, 5);(14, 13);145;153;170;22;False
154;(3, 9);(7, 2);149;156;171;20;False
161;(16, 8);(16, 10);156;157;171;14;False
155;(16, 7);(11, 9);151;161;172;27;False
168;(4, 6);(11, 5);164;164;177;28;False
159;(10, 3);(4, 11);154;163;178;12;False
171;(12, 1);(10, 10);166;167;178;25;False
160;(13, 11);(2, 5);154;157;179;11;False
162;(4, 10);(16, 1);156;157;179;23;False
172;(1, 1);(10, 4);169;170;182;16;False
182;(10, 10);(11, 13);178;178;182;25;False
164;(9, 1);(7, 3);161;174;184;20;False
167;(16, 3);(16, 11);164;167;185;10;True
173;(5, 9);(16, 13);170;170;185;26;False
170;(13, 6);(8, 1);164;170;186;24;False
165;(3, 1);(8, 13);161;165;187;18;False
176;(13, 4);(4, 3);173;174;188;17;False
183;(4, 11);(11, 9);178;178;191;12;False
169;(10, 2);(1, 8);164;173;192;29;False
178;(8, 9);(16, 3);175;175;192;27;False
175;(13, 12);(8, 5);173;178;193;14;False
181;(9, 9);(7, 6);177;188;193;16;False
177;(7, 8);(9, 13);175;182;197;21;True
166;(7, 10);(13, 8);162;187;198;15;False
163;(11, 1);(1, 3);160;177;199;19;False
194;(8, 5);(13, 7);193;193;199;13;False
179;(10, 12);(6, 13);176;190;201;18;False
180;(13, 11);(4, 4);176;181;201;22;False
185;(3, 9);(15, 9);182;186;201;11;False
174;(13, 2);(5, 13);171;182;203;28;False
189;(12, 1);(7, 2);186;198;204;27;False
190;(6, 13);(4, 8);187;199;206;25;False
184;(16, 10);(2, 13);179;188;207;26;False
200;(10, 4);(9, 5);197;197;208;14;False
186;(14, 5);(3, 13);184;187;210;23;False
196;(7, 11);(1, 6);196;201;212;21;False
203;(7, 3);(4, 4);200;205;212;27;False
198;(1, 2);(15, 1);196;198;213;29;False
188;(3, 1);(16, 6);185;191;214;24;False
208;(1, 6);(2, 5);208;212;214;21;False
192;(16, 11);(4, 12);192;199;215;10;False
187;(11, 1);(1, 12);184;190;217;20;True
204;(8, 9);(12, 1);202;203;217;16;False
207;(2, 1);(5, 13);204;204;218;19;True
199;(14, 13);(7, 4);196;198;219;12;False
216;(4, 10);(4, 7);214;217;220;10;False
201;(1, 8);(6, 1);197;211;223;18;False
202;(10, 11);(9, 13);198;220;223;22;False
210;(5, 9);(13, 4);208;209;223;28;False
191;(11, 13);(1, 7);192;207;224;13;False
195;(5, 1);(1, 13);193;204;224;17;False
212;(10, 8);(8, 1);210;212;225;14;False
197;(7, 8);(13, 10);196;212;226;15;True
205;(7, 12);(7, 7);202;221;226;19;False
211;(5, 5);(2, 13);209;211;226;25;False
213;(9, 1);(11, 5);213;220;226;27;False
209;(6, 9);(13, 6);208;217;227;26;False
193;(15, 13);(1, 4);192;207;230;11;False
221;(15, 5);(16, 1);221;225;230;16;False
206;(11, 9);(12, 5);203;227;234;23;False
217;(14, 9);(1, 7);215;219;234;24;True
220;(1, 1);(4, 6);218;228;236;12;False
225;(13, 8);(13, 4);223;225;237;29;False
223;(13, 2);(6, 5);222;225;238;28;False
214;(8, 13);(10, 2);213;224;241;22;False
219;(13, 12);(10, 3);217;228;242;15;False
229;(10, 4);(16, 2);229;232;242;19;False
227;(11, 1);(2, 5);228;228;245;14;True
235;(16, 8);(11, 5);235;235;245;27;False
226;(10, 10);(12, 5);224;231;246;20;False
236;(6, 5);(6, 1);237;238;246;28;False
224;(16, 7);(4, 11);223;233;250;26;False
222;(1, 2);(11, 9);221;229;251;13;False
233;(15, 9);(7, 2);233;233;251;21;False
230;(10, 11);(10, 12);230;251;252;10;False
231;(9, 9);(3, 5);231;241;253;17;False
244;(4, 7);(4, 12);246;248;253;24;False
234;(2, 13);(13, 3);234;235;256;25;False
243;(14, 9);(16, 12);246;254;259;13;False
237;(9, 1);(12, 13);237;241;260;23;True
242;(12, 9);(7, 10);245;247;261;12;False
253;(4, 3);(10, 6);252;253;262;15;False
259;(1, 13);(2, 9);257;257;262;24;False
255;(16, 2);(16, 3);255;262;263;25;False
249;(9, 5);(16, 1);249;249;265;29;False
218;(16, 10);(3, 9);215;244;266;18;False
247;(1, 1);(10, 8);247;250;266;14;True
228;(13, 10);(13, 7);228;252;267;11;False
239;(4, 8);(3, 1);241;259;267;28;False
238;(14, 13);(7, 8);239;255;268;19;False
240;(5, 13);(4, 6);241;253;268;26;False
251;(13, 10);(11, 9);251;264;268;23;False
241;(5, 9);(6, 9);242;256;269;22;False
260;(8, 13);(7, 12);263;268;270;13;False
246;(16, 1);(14, 1);247;259;271;20;False
232;(11, 13);(1, 10);231;254;273;10;False
215;(16, 12);(1, 3);213;248;275;16;False
267;(10, 8);(6, 13);268;268;276;14;True
245;(9, 13);(16, 13);246;258;277;27;False
252;(13, 7);(10, 2);251;264;277;21;False
257;(3, 5);(4, 2);256;267;277;17;True
258;(14, 5);(10, 3);256;271;277;29;False
261;(13, 6);(10, 11);264;268;278;11;False
264;(5, 9);(4, 3);267;270;278;22;False
270;(7, 10);(4, 11);271;271;279;15;False
265;(14, 9);(11, 5);267;269;280;12;False
250;(16, 4);(3, 9);250;264;282;25;False
254;(7, 11);(1, 6);252;271;282;13;False
271;(8, 9);(13, 10);273;276;282;24;False
274;(14, 13);(15, 13);276;284;285;11;False
263;(4, 4);(7, 3);265;278;287;28;False
276;(10, 3);(16, 3);277;277;287;29;False
266;(12, 13);(10, 4);267;275;288;23;False
279;(16, 12);(13, 3);278;278;290;27;False
273;(16, 2);(7, 8);273;274;291;20;False
280;(7, 6);(7, 7);279;290;291;28;False
256;(7, 4);(13, 11);255;272;293;19;False
262;(6, 5);(12, 1);264;279;293;26;False
248;(1, 12);(15, 5);248;271;295;18;False
281;(4, 2);(5, 5);279;279;295;22;False
287;(6, 9);(2, 5);286;287;295;10;True
292;(7, 6);(7, 3);290;293;296;20;False
277;(9, 1);(11, 13);278;279;297;21;True
282;(1, 7);(7, 4);279;288;298;14;False
268;(5, 1);(16, 8);268;282;300;16;False
275;(9, 9);(11, 1);276;286;300;12;False
278;(1, 11);(3, 5);278;286;300;25;False
297;(10, 6);(9, 1);294;296;302;24;True
272;(16, 10);(10, 2);273;289;303;11;False
307;(12, 1);(14, 1);300;301;303;12;True
286;(16, 4);(7, 11);284;288;304;29;False
285;(8, 5);(4, 10);283;291;305;13;False
296;(7, 2);(13, 2);294;297;306;20;False
269;(6, 1);(14, 1);269;288;309;17;False
295;(10, 10);(16, 10);293;301;309;19;False
290;(8, 1);(16, 3);288;294;310;23;False
305;(15, 9);(10, 8);300;302;310;16;False
284;(13, 6);(3, 9);282;299;312;26;False
283;(3, 13);(12, 5);281;293;315;15;False
289;(16, 6);(4, 6);287;297;315;18;False
291;(1, 8);(6, 5);289;305;315;25;False
300;(7, 4);(5, 9);296;298;315;14;False
310;(4, 12);(2, 9);300;307;316;13;False
294;(4, 11);(10, 3);292;298;317;28;False
302;(1, 7);(11, 1);298;298;318;10;False
299;(6, 1);(10, 12);295;299;319;27;False
327;(6, 5);(7, 2);305;315;319;25;True
293;(11, 5);(13, 8);290;311;321;20;False
311;(6, 13);(10, 11);300;307;321;29;False
314;(15, 1);(12, 13);300;304;321;12;False
324;(7, 6);(13, 6);305;309;321;24;False
317;(6, 9);(8, 5);300;316;322;14;True
301;(4, 4);(16, 13);297;297;324;22;False
322;(13, 12);(1, 1);300;300;324;21;False
335;(13, 2);(14, 9);311;316;324;23;False
341;(14, 1);(16, 3);317;323;327;28;False
304;(14, 9);(16, 12);300;325;329;23;False
321;(9, 9);(10, 4);300;319;329;11;False
334;(16, 12);(10, 2);310;311;329;19;False
308;(13, 7);(7, 12);300;318;332;15;False
298;(9, 5);(13, 10);295;323;333;14;False
313;(10, 7);(1, 13);300;312;333;16;False
333;(3, 9);(16, 4);309;312;334;26;False
352;(11, 5);(7, 3);325;328;334;20;False
312;(4, 2);(5, 1);300;324;336;25;False
316;(13, 11);(4, 10);300;325;337;27;False
339;(15, 9);(15, 5);315;329;337;22;False
303;(1, 4);(5, 13);299;320;339;18;False
306;(15, 5);(11, 13);300;324;339;24;False
288;(16, 7);(1, 3);286;317;340;17;False
347;(8, 13);(10, 3);322;326;340;12;True
338;(16, 2);(13, 3);314;336;342;26;False
351;(5, 1);(4, 6);325;336;342;25;False
325;(1, 2);(12, 9);305;325;343;21;False
344;(9, 13);(12, 1);322;324;343;29;False
345;(16, 6);(7, 10);322;330;343;28;False
336;(7, 11);(11, 13);313;333;345;15;False
337;(1, 12);(16, 10);313;326;345;13;True
315;(1, 11);(2, 13);300;335;346;16;False
323;(8, 9);(3, 1);300;336;349;10;False
350;(13, 8);(12, 5);325;346;350;22;False
360;(4, 10);(10, 10);335;337;350;27;False
343;(11, 1);(1, 3);322;331;351;19;False
346;(6, 1);(3, 13);322;337;352;20;False
318;(4, 7);(2, 5);300;343;353;25;False
357;(6, 13);(1, 11);332;340;353;18;True
349;(13, 10);(1, 7);324;333;354;14;False
358;(13, 2);(13, 11);333;345;354;29;False
377;(8, 5);(10, 8);348;350;355;12;True
332;(15, 13);(2, 1);308;331;356;23;False
329;(10, 10);(12, 5);306;351;358;27;False
361;(4, 2);(2, 1);336;346;358;17;False
385;(1, 1);(1, 3);354;357;359;23;False
330;(5, 5);(16, 8);306;341;360;11;False
355;(10, 11);(7, 6);329;351;360;28;False
