task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
1;(1, 11);(5, 9);0;0;6;14;False
2;(7, 11);(3, 13);0;0;6;21;False
5;(3, 1);(4, 4);0;4;8;10;False
3;(13, 3);(7, 6);0;0;9;24;False
4;(13, 10);(7, 7);0;2;11;28;False
7;(13, 6);(16, 3);0;5;11;27;True
9;(7, 4);(1, 8);0;1;11;18;False
6;(10, 7);(7, 10);0;8;14;25;False
8;(14, 13);(13, 11);0;5;17;29;False
10;(5, 1);(4, 11);0;5;17;19;False
11;(1, 12);(4, 3);0;3;19;16;False
15;(8, 13);(14, 5);0;5;19;23;False
23;(4, 7);(3, 13);10;11;19;13;False
12;(1, 10);(8, 1);0;4;20;17;False
13;(7, 12);(1, 3);0;2;20;22;False
17;(1, 13);(6, 1);0;3;20;15;True
24;(7, 3);(6, 5);11;17;20;28;False
26;(1, 11);(2, 13);16;18;21;18;False
25;(3, 5);(2, 5);12;21;22;21;False
16;(5, 13);(7, 8);0;14;23;14;False
20;(16, 7);(4, 12);0;9;26;26;False
14;(11, 9);(16, 1);0;14;27;20;False
27;(11, 1);(16, 2);17;21;27;10;True
18;(10, 11);(9, 9);0;17;28;24;False
19;(3, 9);(16, 4);0;10;29;12;False
21;(15, 5);(12, 5);7;20;33;23;False
30;(10, 3);(6, 9);17;24;34;17;False
37;(8, 5);(8, 1);24;27;35;14;True
28;(7, 2);(1, 2);17;22;36;15;False
22;(16, 8);(12, 13);7;27;37;27;False
31;(4, 10);(4, 4);18;23;41;25;False
35;(10, 2);(1, 3);22;28;42;16;False
32;(14, 1);(12, 9);20;34;44;12;False
34;(1, 6);(9, 1);21;24;44;21;False
29;(13, 7);(4, 6);17;31;45;29;False
33;(5, 9);(5, 5);20;28;45;18;False
49;(3, 9);(1, 11);35;41;45;11;False
36;(9, 5);(2, 1);22;33;46;19;False
43;(14, 9);(7, 7);30;36;46;10;False
38;(7, 6);(13, 10);24;34;48;13;False
42;(11, 9);(8, 9);29;30;48;24;False
39;(4, 3);(15, 9);24;25;50;28;False
40;(7, 4);(16, 10);26;37;53;22;False
41;(7, 12);(13, 8);28;43;53;27;False
44;(11, 1);(12, 1);31;40;53;20;False
47;(4, 10);(16, 12);34;38;54;26;True
46;(1, 13);(9, 9);32;43;56;17;False
50;(11, 9);(4, 12);35;40;56;23;False
55;(4, 2);(8, 9);41;43;56;25;False
45;(1, 1);(12, 9);31;37;58;15;False
52;(11, 5);(15, 1);38;50;58;21;False
54;(8, 1);(8, 5);40;51;59;16;False
51;(13, 11);(10, 8);37;56;62;12;False
53;(16, 11);(16, 7);38;53;67;28;False
57;(15, 9);(6, 13);44;52;68;14;True
63;(4, 6);(3, 13);49;55;69;24;False
65;(15, 5);(10, 2);51;59;70;27;False
58;(16, 13);(13, 3);44;56;71;22;False
66;(12, 1);(4, 11);51;54;71;20;False
70;(3, 9);(2, 1);57;60;71;23;False
56;(10, 12);(4, 3);44;57;72;11;False
48;(14, 13);(7, 3);34;52;73;13;False
62;(1, 8);(9, 13);48;54;73;18;False
67;(7, 8);(16, 6);54;60;73;19;True
64;(10, 3);(9, 5);51;63;74;17;False
61;(3, 5);(7, 6);48;59;76;29;False
60;(16, 2);(7, 10);45;60;77;21;False
77;(13, 7);(10, 11);63;70;77;12;True
75;(8, 5);(5, 5);61;75;78;27;False
82;(4, 2);(7, 2);68;73;78;11;False
59;(14, 5);(1, 10);44;55;79;10;False
72;(5, 13);(7, 11);59;69;79;14;False
78;(7, 6);(4, 8);65;76;84;15;False
68;(1, 7);(10, 8);55;69;86;16;False
69;(2, 13);(8, 13);56;70;86;25;False
76;(12, 5);(8, 1);62;77;87;17;False
87;(12, 13);(2, 13);72;81;91;28;True
71;(16, 4);(1, 12);57;62;92;26;False
91;(4, 7);(8, 13);76;81;92;27;False
79;(16, 1);(11, 13);65;76;93;22;False
80;(11, 1);(10, 10);67;79;94;13;False
73;(4, 12);(15, 1);59;72;95;24;False
74;(13, 6);(3, 5);60;78;97;19;False
81;(1, 13);(16, 11);67;76;97;20;False
85;(3, 9);(9, 5);72;82;97;23;False
97;(5, 5);(10, 4);85;92;98;21;True
94;(6, 13);(2, 1);80;83;99;12;False
89;(5, 9);(14, 9);74;81;100;29;False
84;(15, 5);(10, 12);70;87;101;18;False
83;(1, 11);(10, 2);68;80;104;10;False
100;(3, 13);(7, 6);90;95;106;26;False
88;(2, 9);(13, 10);73;87;107;15;False
92;(13, 8);(9, 13);77;92;107;14;False
106;(1, 2);(4, 4);96;101;108;12;False
86;(13, 4);(13, 11);72;88;109;11;False
102;(10, 3);(4, 3);92;99;109;21;False
105;(8, 13);(1, 10);95;99;109;13;False
101;(9, 5);(4, 11);91;98;111;23;False
111;(5, 13);(4, 10);100;107;111;18;False
95;(9, 9);(16, 10);81;93;112;25;False
107;(4, 7);(4, 8);96;111;112;16;True
93;(16, 2);(7, 11);78;97;115;24;False
96;(15, 13);(14, 13);84;100;116;27;False
98;(4, 6);(13, 3);88;102;116;28;False
99;(11, 9);(7, 8);89;100;116;22;False
90;(14, 1);(16, 12);75;103;117;17;False
109;(7, 7);(8, 1);99;111;119;19;False
121;(9, 9);(10, 6);111;118;122;16;False
110;(13, 6);(6, 9);99;111;124;15;False
116;(1, 8);(4, 12);107;111;124;13;False
122;(4, 11);(6, 5);111;112;125;23;False
103;(13, 2);(8, 9);93;113;127;20;False
114;(8, 5);(15, 1);103;116;127;21;False
119;(5, 9);(13, 4);109;113;127;18;False
128;(16, 10);(13, 7);118;121;127;27;False
120;(10, 11);(14, 13);109;122;128;22;False
117;(11, 13);(4, 10);107;119;129;29;True
113;(1, 3);(2, 9);101;115;130;26;False
118;(5, 1);(13, 11);107;112;132;12;False
112;(14, 5);(16, 11);101;124;134;11;False
108;(16, 6);(3, 9);98;116;135;25;False
104;(16, 3);(1, 4);94;116;136;10;False
127;(3, 13);(7, 3);118;121;139;24;True
115;(14, 9);(3, 5);105;121;140;14;False
137;(1, 13);(1, 11);130;138;140;20;True
123;(14, 1);(1, 6);113;119;141;28;False
134;(6, 1);(4, 4);127;137;142;18;False
138;(9, 5);(7, 7);131;139;143;21;False
133;(1, 8);(10, 3);124;130;144;15;False
135;(12, 13);(10, 6);127;135;145;12;False
130;(2, 5);(11, 9);122;131;146;16;False
125;(13, 12);(1, 2);115;122;147;17;False
126;(5, 5);(16, 13);117;126;147;23;False
124;(1, 12);(16, 8);115;129;148;13;False
136;(2, 13);(10, 10);130;138;149;29;False
132;(10, 7);(10, 2);124;134;150;27;False
129;(13, 8);(2, 1);119;134;152;19;False
131;(1, 4);(16, 1);123;136;154;26;False
140;(13, 4);(11, 1);132;148;154;11;False
148;(4, 4);(7, 4);144;145;154;25;False
139;(8, 9);(13, 11);131;142;155;22;False
145;(13, 6);(16, 3);143;151;157;16;False
141;(3, 1);(9, 1);135;145;163;10;False
151;(6, 5);(1, 2);146;152;163;24;False
158;(5, 1);(6, 1);153;163;164;25;False
143;(7, 12);(16, 4);137;148;167;21;False
149;(7, 3);(2, 9);145;156;167;27;False
155;(16, 7);(11, 9);151;160;167;26;False
157;(15, 5);(7, 11);152;152;167;13;True
144;(12, 1);(6, 13);138;148;168;15;False
147;(4, 12);(16, 6);143;150;170;18;True
156;(10, 10);(15, 9);152;158;170;14;False
150;(5, 5);(14, 13);145;153;171;20;False
159;(10, 3);(4, 11);154;157;171;11;False
142;(11, 5);(1, 10);135;147;175;12;False
152;(13, 10);(14, 1);146;155;175;23;False
146;(12, 13);(15, 1);143;161;176;28;False
154;(3, 9);(7, 2);149;160;176;17;False
164;(9, 1);(7, 3);161;167;177;25;False
160;(13, 11);(2, 5);154;156;178;22;False
153;(9, 13);(4, 3);147;159;179;29;False
167;(16, 3);(16, 11);164;172;180;10;True
165;(3, 1);(8, 13);161;166;183;24;False
161;(16, 8);(16, 10);156;172;186;14;False
166;(7, 10);(13, 8);162;172;186;26;False
163;(11, 1);(1, 3);160;175;187;21;False
168;(4, 6);(11, 5);164;176;190;27;False
170;(13, 6);(8, 1);164;175;191;18;False
177;(7, 8);(9, 13);175;178;193;15;True
162;(4, 10);(16, 1);156;165;194;19;False
171;(12, 1);(10, 10);166;177;195;23;False
169;(10, 2);(1, 8);164;181;197;16;False
179;(10, 12);(6, 13);176;186;197;24;False
172;(1, 1);(10, 4);169;183;198;17;False
175;(13, 12);(8, 5);173;183;198;20;False
173;(5, 9);(16, 13);170;181;199;13;False
182;(10, 10);(11, 13);178;196;199;23;False
183;(4, 11);(11, 9);178;188;201;22;False
178;(8, 9);(16, 3);175;187;202;11;False
184;(16, 10);(2, 13);179;187;203;14;False
190;(6, 13);(4, 8);187;196;203;15;False
176;(13, 4);(4, 3);173;190;204;26;False
180;(13, 11);(4, 4);176;187;204;10;False
181;(9, 9);(7, 6);177;190;205;12;False
185;(3, 9);(15, 9);182;195;207;21;False
174;(13, 2);(5, 13);171;187;208;28;False
187;(11, 1);(1, 12);184;184;209;25;True
194;(8, 5);(13, 7);193;199;211;20;False
201;(1, 8);(6, 1);197;198;211;16;False
197;(7, 8);(13, 10);196;205;213;18;True
202;(10, 11);(9, 13);198;213;216;12;False
186;(14, 5);(3, 13);184;193;217;27;False
189;(12, 1);(7, 2);186;203;217;17;False
192;(16, 11);(4, 12);192;201;219;13;False
203;(7, 3);(4, 4);200;214;220;16;False
200;(10, 4);(9, 5);197;211;223;22;False
205;(7, 12);(7, 7);202;217;223;25;False
196;(7, 11);(1, 6);196;209;225;24;False
213;(9, 1);(11, 5);213;220;226;17;False
199;(14, 13);(7, 4);196;208;227;19;False
208;(1, 6);(2, 5);208;226;227;24;False
191;(11, 13);(1, 7);192;200;228;23;False
198;(1, 2);(15, 1);196;214;229;26;False
207;(2, 1);(5, 13);204;212;229;15;True
188;(3, 1);(16, 6);185;208;230;10;False
206;(11, 9);(12, 5);203;221;230;21;False
193;(15, 13);(1, 4);192;204;231;29;False
210;(5, 9);(13, 4);208;214;231;28;False
195;(5, 1);(1, 13);193;215;232;11;False
204;(8, 9);(12, 1);202;215;232;14;False
214;(8, 13);(10, 2);213;217;233;12;False
212;(10, 8);(8, 1);210;219;234;20;False
220;(1, 1);(4, 6);218;226;236;16;False
211;(5, 5);(2, 13);209;227;238;25;False
221;(15, 5);(16, 1);221;233;239;21;False
217;(14, 9);(1, 7);215;225;240;18;True
209;(6, 9);(13, 6);208;228;245;13;False
223;(13, 2);(6, 5);222;233;246;28;False
229;(10, 4);(16, 2);229;236;246;19;False
227;(11, 1);(2, 5);228;234;247;17;True
230;(10, 11);(10, 12);230;246;247;20;False
216;(4, 10);(4, 7);214;234;249;24;False
236;(6, 5);(6, 1);237;243;249;29;False
246;(16, 1);(14, 1);247;247;249;19;False
219;(13, 12);(10, 3);217;238;250;15;False
222;(1, 2);(11, 9);221;231;250;27;False
224;(16, 7);(4, 11);223;236;253;26;False
225;(13, 8);(13, 4);223;240;254;14;False
218;(16, 10);(3, 9);215;235;255;22;False
237;(9, 1);(12, 13);237;242;257;23;True
241;(5, 9);(6, 9);242;256;257;17;False
226;(10, 10);(12, 5);224;252;259;16;False
231;(9, 9);(3, 5);231;245;259;11;False
228;(13, 10);(13, 7);228;246;261;12;False
234;(2, 13);(13, 3);234;239;261;25;False
215;(16, 12);(1, 3);213;236;262;10;False
235;(16, 8);(11, 5);235;254;263;21;False
244;(4, 7);(4, 12);246;250;264;24;False
253;(4, 3);(10, 6);252;254;264;29;False
239;(4, 8);(3, 1);241;251;265;28;False
242;(12, 9);(7, 10);245;259;265;19;False
233;(15, 9);(7, 2);233;250;267;13;False
257;(3, 5);(4, 2);256;263;267;22;True
232;(11, 13);(1, 10);231;249;268;20;False
243;(14, 9);(16, 12);246;263;268;23;False
255;(16, 2);(16, 3);255;267;268;25;False
240;(5, 13);(4, 6);241;256;269;26;False
247;(1, 1);(10, 8);247;253;269;18;True
252;(13, 7);(10, 2);251;262;270;12;False
245;(9, 13);(16, 13);246;264;271;17;False
249;(9, 5);(16, 1);249;261;272;15;False
238;(14, 13);(7, 8);239;257;273;27;False
259;(1, 13);(2, 9);257;268;273;24;False
263;(4, 4);(7, 3);265;269;276;28;False
251;(13, 10);(11, 9);251;265;277;16;False
258;(14, 5);(10, 3);256;272;278;25;False
260;(8, 13);(7, 12);263;276;278;18;False
250;(16, 4);(3, 9);250;263;281;14;False
254;(7, 11);(1, 6);252;266;282;19;False
261;(13, 6);(10, 11);264;273;283;29;False
265;(14, 9);(11, 5);267;277;284;17;False
262;(6, 5);(12, 1);264;274;285;10;False
266;(12, 13);(10, 4);267;273;285;23;False
270;(7, 10);(4, 11);271;280;286;18;False
274;(14, 13);(15, 13);276;285;286;20;False
264;(5, 9);(4, 3);267;276;287;24;False
267;(10, 8);(6, 13);268;278;287;13;True
256;(7, 4);(13, 11);255;268;288;21;False
276;(10, 3);(16, 3);277;279;288;25;False
268;(5, 1);(16, 8);268;269;289;22;False
273;(16, 2);(7, 8);273;273;290;15;False
271;(8, 9);(13, 10);273;284;291;26;False
280;(7, 6);(7, 7);279;290;291;17;False
248;(1, 12);(15, 5);248;269;293;11;False
277;(9, 1);(11, 13);278;280;294;28;True
269;(6, 1);(14, 1);269;276;297;12;False
275;(9, 9);(11, 1);276;284;298;27;False
278;(1, 11);(3, 5);278;285;299;14;False
281;(4, 2);(5, 5);279;289;299;19;False
279;(16, 12);(13, 3);278;288;301;20;False
287;(6, 9);(2, 5);286;293;301;29;True
307;(12, 1);(14, 1);300;300;301;27;True
272;(16, 10);(10, 2);273;283;304;16;False
291;(1, 8);(6, 5);289;297;305;13;False
297;(10, 6);(9, 1);294;299;305;17;True
284;(13, 6);(3, 9);282;291;306;10;False
286;(16, 4);(7, 11);284;289;306;25;False
290;(8, 1);(16, 3);288;291;306;23;False
285;(8, 5);(4, 10);283;294;307;15;False
283;(3, 13);(12, 5);281;289;310;18;False
295;(10, 10);(16, 10);293;298;310;22;False
282;(1, 7);(7, 4);279;298;311;24;False
317;(6, 9);(8, 5);300;306;312;19;True
293;(11, 5);(13, 8);290;306;316;28;False
305;(15, 9);(10, 8);300;312;318;22;False
327;(6, 5);(7, 2);305;310;320;26;True
288;(16, 7);(1, 3);286;296;321;11;False
314;(15, 1);(12, 13);300;302;321;27;False
303;(1, 4);(5, 13);299;303;322;29;False
289;(16, 6);(4, 6);287;300;324;21;False
292;(7, 6);(7, 3);290;307;324;13;False
311;(6, 13);(10, 11);300;309;324;25;False
296;(7, 2);(13, 2);294;310;325;20;False
298;(9, 5);(13, 10);295;311;325;12;False
309;(1, 10);(3, 5);300;309;325;10;False
300;(7, 4);(5, 9);296;312;326;24;False
302;(1, 7);(11, 1);298;303;326;14;False
306;(15, 5);(11, 13);300;313;327;18;False
294;(4, 11);(10, 3);292;308;329;15;False
308;(13, 7);(7, 12);300;317;330;23;False
299;(6, 1);(10, 12);295;308;333;17;False
313;(10, 7);(1, 13);300;316;333;19;False
304;(14, 9);(16, 12);300;329;334;22;False
315;(1, 11);(2, 13);300;333;336;10;False
318;(4, 7);(2, 5);300;328;338;26;False
335;(13, 2);(14, 9);311;326;339;20;False
347;(8, 13);(10, 3);322;325;339;27;True
357;(6, 13);(1, 11);332;332;339;18;True
321;(9, 9);(10, 4);300;327;340;28;False
312;(4, 2);(5, 1);300;327;341;11;False
316;(13, 11);(4, 10);300;326;342;12;False
310;(4, 12);(2, 9);300;339;344;10;False
328;(14, 13);(8, 13);306;337;344;22;False
337;(1, 12);(16, 10);313;325;344;16;True
323;(8, 9);(3, 1);300;329;347;29;False
351;(5, 1);(4, 6);325;342;349;11;False
326;(1, 6);(7, 7);305;340;350;19;False
329;(10, 10);(12, 5);306;333;350;24;False
341;(14, 1);(16, 3);317;347;351;28;False
319;(4, 3);(16, 11);300;332;352;13;False
331;(11, 9);(14, 5);307;342;352;20;False
322;(13, 12);(1, 1);300;330;353;25;False
320;(4, 8);(13, 4);300;341;354;23;False
324;(7, 6);(13, 6);305;339;354;14;False
339;(15, 9);(15, 5);315;346;354;16;False
301;(4, 4);(16, 13);297;326;356;21;False
330;(5, 5);(16, 8);306;341;356;26;False
336;(7, 11);(11, 13);313;339;356;17;False
325;(1, 2);(12, 9);305;341;359;15;False
377;(8, 5);(10, 8);348;354;359;22;True
340;(1, 8);(8, 1);316;346;360;10;False
333;(3, 9);(16, 4);309;343;361;18;False
387;(15, 13);(10, 12);355;355;361;13;True
348;(9, 5);(7, 12);323;353;362;24;False
338;(16, 2);(13, 3);314;359;365;16;False
367;(15, 5);(6, 9);342;350;365;27;True
369;(10, 11);(12, 9);344;363;366;13;False
354;(1, 10);(2, 9);327;356;368;11;False
342;(7, 8);(16, 1);318;351;369;19;False
343;(11, 1);(1, 3);322;359;372;23;False
