task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
2;(2, 13);(11, 13);0;5;14;15;False
9;(11, 5);(2, 9);0;4;17;22;False
1;(2, 5);(7, 12);0;5;18;12;False
3;(1, 2);(7, 11);0;1;18;10;False
5;(1, 12);(9, 5);0;1;18;13;False
4;(1, 2);(6, 13);0;2;20;11;False
8;(10, 11);(16, 3);0;7;21;19;False
6;(16, 2);(4, 7);0;7;24;23;False
7;(1, 13);(15, 1);0;3;29;14;False
15;(5, 1);(6, 5);21;25;32;17;False
13;(3, 13);(4, 12);19;22;34;21;False
17;(16, 7);(11, 1);25;26;37;26;False
10;(3, 9);(10, 4);15;27;43;12;False
14;(15, 13);(10, 3);19;26;43;15;False
16;(1, 6);(3, 1);22;31;46;18;False
20;(13, 8);(16, 8);35;37;46;27;False
12;(1, 11);(16, 1);19;20;49;22;False
18;(5, 1);(10, 12);30;34;52;16;False
11;(1, 13);(16, 13);18;34;57;23;False
19;(6, 13);(16, 3);33;35;60;10;False
21;(1, 6);(9, 13);38;43;60;11;False
24;(5, 13);(11, 9);47;48;60;20;False
23;(1, 11);(12, 5);44;44;61;21;False
25;(1, 1);(11, 9);47;48;66;18;False
27;(4, 2);(1, 7);53;61;69;13;False
22;(2, 13);(3, 5);44;60;72;25;False
33;(13, 11);(10, 12);67;67;72;23;False
26;(1, 12);(2, 13);50;63;75;16;False
32;(3, 5);(1, 12);62;67;76;17;False
30;(13, 12);(8, 1);61;62;80;27;False
28;(1, 12);(9, 13);58;77;85;17;False
29;(3, 9);(9, 1);61;68;86;12;False
36;(1, 4);(10, 6);73;73;90;15;False
41;(1, 2);(1, 6);87;88;92;27;False
35;(2, 13);(5, 1);73;75;93;16;False
37;(14, 9);(6, 13);76;79;95;20;False
31;(1, 3);(8, 9);61;82;96;25;False
34;(1, 11);(13, 4);70;73;97;13;False
40;(1, 4);(4, 2);86;93;100;26;False
38;(2, 5);(12, 9);77;87;103;23;False
43;(2, 9);(13, 11);93;96;109;27;False
42;(1, 10);(10, 11);91;101;115;17;False
45;(1, 4);(3, 5);96;107;118;26;False
46;(3, 9);(13, 2);97;97;118;11;False
47;(2, 5);(7, 12);98;104;119;16;False
39;(1, 3);(7, 10);81;110;127;12;False
44;(2, 13);(15, 1);94;99;127;20;False
48;(1, 7);(12, 9);101;112;130;15;False
50;(8, 9);(13, 8);110;119;133;18;False
52;(9, 5);(3, 1);119;123;133;17;False
51;(7, 2);(8, 9);116;126;134;11;False
54;(1, 2);(1, 7);120;123;136;26;False
49;(1, 6);(16, 2);104;118;138;25;False
56;(10, 12);(14, 9);128;134;142;12;False
53;(1, 10);(10, 2);119;129;146;16;False
57;(16, 13);(2, 9);131;133;151;27;False
59;(2, 1);(16, 8);134;134;157;17;False
58;(3, 5);(4, 3);134;148;159;18;False
55;(1, 12);(16, 7);128;141;163;26;False
64;(12, 9);(3, 1);147;147;163;23;False
60;(7, 3);(8, 13);135;145;164;11;False
65;(1, 11);(10, 6);152;154;172;27;False
70;(16, 6);(15, 9);165;168;172;14;False
61;(1, 4);(13, 4);137;156;175;20;False
62;(2, 13);(11, 1);139;152;175;15;False
63;(1, 12);(2, 13);143;169;181;16;False
68;(1, 12);(8, 9);164;172;182;11;False
66;(2, 1);(13, 8);158;164;185;23;False
69;(1, 1);(2, 13);164;168;185;18;False
67;(16, 8);(2, 5);160;175;192;12;False
75;(2, 13);(4, 8);182;185;194;18;False
73;(8, 1);(10, 12);176;185;200;22;False
74;(1, 10);(11, 13);176;185;200;16;False
72;(3, 13);(7, 8);173;189;202;27;False
71;(3, 13);(10, 10);173;188;204;14;False
76;(2, 13);(7, 8);183;196;208;11;False
78;(1, 1);(1, 6);186;197;208;12;False
79;(11, 13);(16, 8);193;197;209;23;False
82;(1, 6);(10, 6);201;201;216;18;False
81;(12, 5);(4, 2);201;206;217;13;False
80;(3, 1);(12, 9);195;198;219;21;False
83;(2, 13);(1, 4);203;209;219;22;False
89;(13, 2);(11, 1);218;219;222;24;False
86;(16, 8);(9, 9);209;209;223;23;False
77;(2, 1);(14, 9);186;201;224;20;False
88;(2, 1);(1, 7);217;220;227;13;False
84;(1, 12);(5, 1);205;214;231;12;False
87;(2, 13);(11, 13);210;215;234;14;False
91;(3, 1);(7, 4);220;223;236;11;False
85;(2, 1);(16, 7);209;216;238;27;False
98;(13, 8);(13, 4);237;238;242;21;False
92;(1, 10);(1, 7);223;230;245;13;False
94;(3, 13);(4, 12);225;233;245;23;False
90;(3, 9);(14, 13);220;228;247;18;False
93;(2, 9);(5, 1);224;235;248;22;False
96;(12, 1);(3, 5);232;235;248;25;False
104;(13, 4);(13, 12);249;250;258;19;False
105;(9, 13);(3, 13);249;255;261;14;False
95;(1, 6);(12, 1);228;246;263;13;False
101;(16, 13);(5, 9);246;248;264;16;False
97;(1, 7);(14, 13);235;242;266;24;False
102;(1, 13);(13, 3);246;249;271;23;False
100;(1, 12);(7, 2);243;254;272;11;False
99;(2, 1);(16, 13);239;246;274;12;False
103;(3, 13);(10, 6);248;260;275;25;False
106;(1, 13);(2, 1);259;263;276;14;False
107;(13, 6);(8, 5);262;265;277;17;False
110;(3, 1);(4, 3);267;277;288;11;False
112;(2, 13);(4, 11);273;280;290;20;False
115;(2, 5);(3, 9);277;283;290;17;False
111;(14, 13);(10, 6);272;276;291;18;False
108;(1, 10);(12, 1);264;269;295;16;False
109;(1, 4);(14, 9);265;274;298;22;False
113;(14, 13);(5, 5);275;280;301;24;False
114;(1, 2);(6, 9);276;288;302;14;False
118;(6, 1);(9, 9);291;292;303;11;False
119;(15, 13);(15, 1);291;297;311;19;False
121;(1, 12);(9, 5);296;296;311;20;False
116;(2, 13);(13, 4);278;292;315;25;False
117;(1, 11);(1, 2);289;306;315;13;False
122;(2, 5);(4, 6);299;304;315;24;False
120;(1, 4);(10, 11);292;299;321;17;False
123;(3, 1);(1, 6);302;316;323;14;False
124;(2, 5);(10, 4);303;306;323;18;False
125;(12, 1);(7, 12);304;307;325;26;False
129;(14, 1);(16, 8);316;319;328;15;False
131;(10, 4);(11, 9);322;323;329;18;False
127;(3, 13);(10, 7);312;315;332;11;False
128;(1, 2);(6, 13);316;316;333;13;False
126;(1, 12);(3, 9);312;330;335;20;False
136;(13, 3);(16, 7);330;330;337;23;False
130;(1, 4);(1, 11);316;320;339;24;False
135;(1, 4);(1, 1);329;337;340;21;False
133;(1, 10);(10, 11);324;327;341;14;False
134;(16, 10);(16, 2);326;330;350;15;False
142;(1, 3);(7, 2);341;342;351;17;False
132;(1, 2);(6, 1);324;346;352;20;False
137;(1, 1);(7, 8);333;340;353;21;False
141;(3, 13);(12, 9);340;343;356;24;False
138;(15, 9);(1, 2);334;340;361;23;False
143;(16, 7);(6, 9);342;344;361;18;False
147;(5, 9);(6, 13);354;356;363;14;False
148;(6, 9);(2, 5);357;357;365;21;False
139;(1, 6);(15, 13);336;345;368;11;False
144;(1, 12);(11, 9);351;357;370;26;False
150;(6, 1);(10, 2);362;367;373;23;False
140;(1, 10);(16, 3);338;352;374;13;False
146;(1, 6);(10, 8);353;361;374;17;False
155;(10, 4);(13, 12);374;375;386;23;False
149;(10, 3);(9, 13);362;369;388;16;False
151;(1, 13);(13, 10);364;374;389;21;False
157;(11, 13);(13, 11);375;378;390;26;False
145;(1, 10);(16, 8);352;368;391;18;False
152;(4, 6);(16, 2);366;374;391;14;False
153;(2, 13);(7, 8);369;382;392;20;False
154;(14, 13);(7, 12);371;374;395;12;False
156;(1, 3);(4, 7);375;388;399;17;False
160;(8, 9);(8, 5);390;396;402;22;False
159;(12, 9);(5, 1);389;391;406;21;False
161;(3, 5);(1, 10);391;399;406;20;False
166;(2, 9);(1, 7);400;403;406;12;False
163;(9, 1);(8, 9);392;398;410;19;False
158;(3, 13);(8, 13);387;397;414;23;False
169;(13, 7);(13, 4);407;413;416;22;False
165;(4, 8);(14, 13);396;400;417;17;False
162;(3, 13);(8, 5);392;404;421;24;False
168;(3, 1);(11, 5);407;408;425;21;False
167;(1, 13);(6, 1);403;409;427;20;False
170;(1, 4);(16, 2);407;409;428;12;False
164;(3, 13);(16, 8);393;407;429;16;False
173;(2, 9);(1, 6);417;431;435;11;False
177;(12, 5);(5, 9);428;434;445;25;False
174;(1, 3);(1, 12);418;427;446;19;False
175;(3, 9);(16, 13);422;427;448;23;False
180;(2, 5);(6, 13);436;437;449;11;False
171;(1, 2);(16, 2);411;432;453;22;False
172;(1, 13);(1, 1);415;440;454;24;False
178;(3, 5);(10, 4);429;436;454;20;False
179;(1, 10);(9, 13);430;446;457;27;False
176;(1, 8);(14, 13);426;445;469;21;False
181;(2, 9);(16, 12);446;448;469;25;False
182;(7, 7);(9, 13);447;456;470;11;False
187;(3, 13);(3, 9);455;467;475;26;False
185;(1, 11);(13, 8);454;459;478;19;False
189;(13, 2);(12, 5);470;471;481;13;False
183;(6, 9);(16, 2);449;461;482;10;False
188;(1, 3);(10, 12);458;467;489;20;False
186;(1, 13);(10, 7);455;475;490;27;False
190;(1, 13);(3, 1);470;478;492;11;False
191;(2, 5);(4, 7);471;482;492;26;False
184;(1, 3);(14, 13);450;466;494;24;False
196;(13, 11);(14, 5);490;490;497;17;False
192;(1, 4);(4, 8);476;486;499;14;False
197;(12, 13);(16, 8);491;492;502;20;False
193;(1, 3);(12, 1);479;495;508;19;False
199;(13, 10);(5, 5);493;494;508;23;False
198;(16, 1);(7, 10);493;498;516;12;False
200;(6, 9);(13, 4);495;500;516;27;False
194;(1, 3);(7, 10);482;500;518;26;False
201;(3, 9);(12, 5);498;501;519;14;False
195;(2, 1);(9, 13);483;500;522;18;False
205;(1, 6);(9, 9);509;513;524;23;False
209;(13, 3);(10, 4);520;520;526;10;False
208;(1, 13);(4, 4);519;519;531;13;False
203;(1, 13);(16, 4);503;508;532;11;False
207;(8, 9);(2, 9);517;526;532;21;False
204;(1, 12);(13, 10);509;526;542;12;False
214;(3, 9);(4, 10);533;534;546;18;False
202;(1, 12);(16, 13);500;524;548;25;False
210;(1, 3);(7, 4);523;539;548;13;False
211;(1, 1);(8, 9);525;536;551;14;False
206;(1, 8);(9, 13);517;534;553;21;False
212;(1, 8);(2, 9);527;543;555;23;False
213;(16, 10);(16, 2);532;538;558;24;False
215;(1, 7);(15, 9);533;544;560;10;False
220;(1, 8);(1, 4);552;557;561;23;False
216;(3, 5);(4, 4);543;552;564;18;False
217;(5, 9);(15, 13);547;547;564;26;False
218;(2, 5);(1, 1);549;562;567;16;False
226;(2, 5);(2, 9);565;565;571;14;False
221;(1, 8);(1, 6);554;573;575;18;False
224;(11, 9);(12, 1);561;565;576;25;False
219;(3, 5);(13, 8);549;559;578;13;False
227;(3, 9);(8, 13);565;565;578;21;False
223;(1, 12);(3, 13);559;574;585;12;False
225;(1, 8);(6, 5);562;583;591;24;False
228;(2, 1);(16, 13);568;568;594;16;False
229;(3, 13);(10, 12);572;580;598;23;False
233;(16, 3);(7, 4);579;587;599;15;False
232;(16, 1);(8, 9);579;584;600;22;False
230;(3, 1);(11, 9);576;582;602;14;False
239;(2, 9);(1, 6);601;606;610;22;False
222;(1, 7);(16, 12);556;589;613;18;False
238;(9, 1);(6, 1);600;604;617;15;False
231;(2, 1);(12, 13);577;594;618;19;False
234;(3, 5);(16, 2);586;596;618;21;False
235;(1, 2);(9, 1);592;603;619;24;False
237;(1, 13);(10, 3);599;601;620;12;False
236;(16, 4);(2, 1);595;606;625;11;False
241;(10, 2);(7, 7);611;617;627;25;False
244;(1, 2);(4, 4);619;623;630;15;False
240;(1, 4);(6, 13);603;612;632;22;False
242;(1, 7);(13, 11);614;618;634;23;False
247;(2, 9);(1, 7);621;635;638;19;False
248;(1, 7);(1, 12);626;635;640;24;False
246;(1, 3);(15, 5);620;628;644;11;False
250;(2, 9);(1, 3);631;638;645;12;False
245;(6, 9);(13, 8);619;628;646;18;False
251;(1, 3);(4, 2);633;638;647;15;False
249;(3, 9);(10, 12);628;633;649;25;False
252;(2, 13);(4, 8);635;646;655;22;False
253;(2, 5);(1, 12);639;641;655;19;False
254;(1, 13);(16, 12);641;641;658;24;False
255;(1, 2);(1, 7);645;646;659;12;False
257;(1, 12);(1, 13);647;650;663;23;False
261;(13, 10);(16, 10);656;658;663;16;False
243;(1, 10);(7, 10);618;657;665;19;False
258;(1, 8);(8, 9);648;660;668;12;False
259;(3, 5);(3, 9);650;660;668;22;False
256;(1, 1);(11, 13);646;651;673;15;False
268;(3, 13);(2, 13);669;672;673;19;False
260;(13, 12);(13, 3);656;657;674;26;False
263;(1, 7);(1, 8);660;662;675;18;False
262;(13, 6);(8, 13);659;664;676;20;False
264;(1, 7);(4, 12);664;669;681;23;False
265;(11, 1);(6, 13);664;668;685;27;False
270;(1, 8);(1, 10);674;675;689;18;False
266;(3, 5);(10, 3);666;674;691;22;False
267;(2, 5);(7, 8);669;679;691;25;False
269;(2, 9);(10, 4);674;679;692;19;False
273;(1, 6);(3, 5);677;690;693;20;False
272;(6, 9);(11, 9);676;677;694;10;False
276;(2, 9);(6, 13);690;690;698;23;False
271;(16, 6);(14, 1);675;684;699;13;False
281;(3, 13);(5, 9);695;695;700;18;False
280;(12, 1);(14, 13);694;696;714;26;False
278;(1, 8);(16, 10);692;695;719;27;False
283;(3, 9);(9, 1);700;704;722;22;False
277;(3, 1);(16, 1);692;699;724;20;False
274;(1, 4);(12, 13);682;699;725;12;False
279;(2, 1);(14, 1);693;703;725;25;False
275;(1, 2);(10, 7);686;712;728;19;False
282;(1, 12);(7, 2);699;714;730;23;False
284;(1, 7);(1, 1);701;715;732;18;False
286;(12, 9);(13, 3);720;723;734;24;False
285;(2, 13);(7, 6);715;729;743;14;False
287;(2, 13);(7, 7);723;738;751;26;False
291;(1, 7);(4, 3);729;744;752;12;False
290;(1, 2);(13, 10);726;733;753;18;False
288;(5, 9);(15, 9);725;735;755;19;False
289;(3, 5);(10, 10);726;739;755;23;False
292;(2, 9);(7, 2);731;740;755;22;False
293;(2, 13);(7, 6);733;747;761;27;False
294;(3, 5);(12, 13);735;743;764;17;False
295;(2, 13);(5, 5);744;757;770;14;False
297;(2, 1);(2, 13);753;756;770;12;False
299;(13, 11);(1, 7);756;757;773;15;False
296;(1, 2);(7, 6);752;763;774;22;False
298;(1, 8);(4, 10);754;771;776;27;False
303;(1, 13);(4, 8);765;768;778;18;False
300;(1, 3);(15, 9);756;761;785;26;False
305;(3, 5);(11, 1);771;777;789;15;False
301;(2, 9);(16, 10);756;771;795;23;False
308;(5, 13);(13, 7);777;780;795;27;False
309;(1, 7);(10, 4);779;785;797;22;False
304;(1, 11);(3, 1);771;781;799;12;False
306;(1, 7);(2, 13);774;784;799;14;False
311;(12, 9);(1, 8);790;790;801;10;False
307;(1, 4);(10, 8);775;785;804;18;False
302;(1, 12);(14, 5);762;784;806;17;False
315;(1, 3);(7, 4);800;803;812;12;False
317;(16, 13);(13, 12);802;803;813;19;False
310;(3, 9);(2, 1);786;802;814;16;False
314;(2, 13);(8, 13);798;799;815;14;False
313;(2, 9);(7, 4);796;810;822;23;False
322;(2, 1);(1, 6);815;815;824;16;False
312;(3, 9);(13, 6);796;807;826;26;False
318;(4, 10);(13, 11);805;813;827;18;False
324;(2, 1);(1, 1);823;826;827;17;False
316;(2, 9);(16, 12);800;813;834;10;False
320;(1, 10);(1, 8);813;820;834;22;False
327;(1, 3);(4, 8);828;829;837;17;False
321;(1, 6);(9, 13);814;825;840;16;False
319;(1, 11);(10, 11);807;828;841;19;False
330;(13, 2);(10, 2);835;836;841;11;False
323;(2, 5);(13, 6);816;824;844;12;False
328;(1, 6);(7, 3);828;836;845;22;False
325;(1, 7);(1, 13);825;833;849;14;False
331;(1, 6);(6, 5);838;844;850;17;False
326;(2, 5);(6, 1);827;841;851;23;False
339;(13, 2);(16, 4);852;853;860;20;False
332;(3, 5);(4, 10);841;851;861;11;False
337;(3, 9);(4, 12);850;852;862;16;False
338;(13, 4);(7, 2);851;852;864;13;False
334;(3, 13);(10, 11);842;850;867;19;False
333;(13, 8);(3, 13);842;847;868;18;False
336;(1, 3);(7, 12);846;855;870;22;False
335;(1, 8);(1, 13);845;854;873;14;False
329;(1, 1);(16, 11);835;849;875;26;False
340;(9, 5);(4, 6);861;866;880;23;False
345;(2, 9);(4, 3);869;872;881;11;False
343;(10, 3);(7, 12);865;868;882;17;False
346;(11, 13);(10, 8);871;875;885;22;False
341;(2, 5);(13, 8);862;871;890;16;False
342;(16, 11);(2, 5);863;870;890;10;False
347;(3, 13);(1, 6);874;881;892;14;False
348;(10, 6);(16, 10);876;882;892;24;False
353;(1, 4);(6, 1);891;892;900;10;False
354;(3, 9);(7, 7);891;894;900;18;False
351;(10, 12);(1, 13);883;892;902;17;False
349;(14, 1);(9, 13);881;884;905;25;False
355;(3, 5);(2, 13);893;895;906;14;False
344;(1, 1);(11, 13);868;885;908;13;False
352;(10, 10);(8, 1);886;889;908;19;False
357;(10, 3);(12, 1);901;907;911;18;False
358;(2, 5);(2, 9);901;904;912;11;False
350;(1, 4);(16, 13);882;885;915;23;False
356;(15, 13);(1, 4);893;896;920;24;False
362;(10, 3);(2, 1);909;909;922;22;False
361;(16, 10);(13, 6);907;913;926;26;False
359;(8, 9);(2, 1);903;910;929;10;False
364;(2, 5);(8, 1);912;919;929;14;False
365;(1, 7);(11, 1);913;913;929;17;False
360;(5, 1);(4, 7);906;923;931;19;False
366;(2, 9);(11, 5);916;923;938;25;False
363;(1, 1);(12, 9);909;921;940;11;False
372;(1, 1);(7, 6);930;930;941;10;False
367;(2, 5);(8, 13);921;928;942;22;False
368;(2, 5);(15, 9);923;934;954;24;False
370;(12, 13);(2, 1);930;933;956;13;False
374;(5, 5);(13, 4);939;940;957;14;False
369;(2, 5);(13, 4);927;938;958;26;False
371;(1, 7);(13, 11);930;938;958;19;False
375;(10, 10);(6, 1);941;947;960;22;False
373;(2, 1);(3, 1);932;955;968;25;False
378;(1, 3);(3, 9);955;959;968;13;False
376;(1, 10);(16, 13);942;951;970;10;False
383;(14, 13);(4, 12);961;961;972;24;False
382;(15, 5);(6, 9);959;960;975;14;False
377;(1, 4);(13, 2);943;962;978;23;False
384;(12, 5);(7, 7);969;972;979;27;False
379;(3, 9);(13, 7);957;968;980;13;False
385;(3, 1);(7, 6);969;969;981;25;False
380;(7, 12);(13, 3);958;967;982;19;False
386;(1, 7);(16, 7);971;976;995;22;False
388;(9, 5);(12, 1);976;983;995;12;False
391;(2, 5);(7, 4);981;981;995;24;False
381;(1, 10);(16, 6);959;974;999;15;False
390;(1, 7);(13, 8);980;982;999;14;False
