task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
2;(1, 3);(2, 1);0;0;3;10;False
3;(2, 13);(7, 11);0;5;12;15;False
6;(16, 13);(14, 9);0;7;13;27;False
8;(1, 13);(10, 10);0;2;15;13;False
7;(1, 8);(10, 7);0;6;18;11;False
5;(2, 9);(16, 11);0;4;20;14;False
4;(3, 13);(7, 8);0;9;22;20;False
10;(1, 8);(16, 12);4;7;27;12;False
12;(3, 13);(4, 8);14;20;30;21;False
1;(3, 13);(16, 2);0;6;34;19;False
9;(2, 9);(13, 3);0;15;35;10;False
14;(1, 1);(1, 11);19;27;37;18;False
18;(16, 10);(16, 13);31;37;40;25;False
13;(16, 4);(12, 13);16;22;41;24;False
15;(1, 7);(7, 11);21;29;44;13;False
11;(1, 4);(15, 9);13;23;48;16;False
19;(4, 4);(2, 9);35;39;54;17;False
25;(16, 8);(14, 5);49;50;55;16;False
20;(1, 12);(11, 5);36;38;57;18;False
21;(1, 6);(12, 1);38;38;59;21;False
16;(1, 2);(15, 13);23;34;60;11;False
22;(1, 13);(1, 4);41;53;62;13;False
23;(3, 13);(13, 11);42;49;69;15;False
27;(11, 1);(13, 6);56;60;69;23;False
24;(3, 5);(7, 12);45;55;70;20;False
26;(3, 9);(16, 12);55;55;71;17;False
17;(1, 13);(10, 2);28;52;72;24;False
32;(8, 1);(11, 1);70;75;78;21;False
29;(1, 4);(15, 5);60;62;83;13;False
33;(1, 11);(3, 5);70;79;87;20;False
28;(1, 12);(10, 8);58;75;88;14;False
31;(4, 6);(14, 1);63;66;88;16;False
30;(1, 3);(8, 1);61;77;90;18;False
35;(3, 9);(10, 12);72;78;94;11;False
36;(3, 5);(4, 6);73;84;96;24;False
38;(8, 9);(7, 4);84;86;96;17;False
44;(14, 5);(13, 3);97;97;99;16;False
37;(2, 5);(9, 13);79;87;105;23;False
34;(1, 4);(4, 12);71;98;109;20;False
40;(14, 5);(4, 8);89;93;112;19;False
43;(2, 1);(10, 2);95;102;119;10;False
47;(1, 8);(1, 6);106;108;120;18;False
49;(1, 2);(7, 3);113;114;123;17;False
