task_id;start;end;in_time;assign_time;complete_time;car_id;is_VIP
3;(1, 11);(1, 7);0;0;4;12;False
8;(13, 10);(14, 5);0;1;7;19;False
4;(5, 1);(2, 5);0;5;12;15;False
1;(1, 6);(4, 6);0;3;13;10;False
7;(7, 2);(7, 6);0;1;13;14;False
10;(11, 5);(13, 2);0;4;13;18;False
2;(4, 12);(10, 11);0;6;17;16;False
11;(16, 6);(11, 9);5;10;18;19;False
5;(10, 6);(16, 2);0;9;19;17;False
12;(4, 8);(8, 9);8;14;19;12;False
15;(13, 6);(14, 5);14;16;28;11;False
6;(14, 9);(5, 5);0;16;33;13;False
14;(10, 2);(15, 9);14;23;37;10;False
9;(14, 13);(13, 7);0;27;38;19;False
17;(13, 3);(12, 1);18;28;39;18;False
20;(7, 10);(10, 4);20;24;39;15;False
13;(14, 1);(5, 13);13;22;44;17;False
19;(13, 10);(9, 1);20;31;44;12;False
18;(11, 13);(1, 2);19;20;45;16;False
21;(13, 2);(3, 5);29;32;47;11;False
16;(16, 12);(1, 4);14;29;54;14;False
24;(7, 11);(13, 6);39;43;58;13;False
22;(11, 9);(16, 1);34;48;61;19;False
23;(10, 12);(4, 7);38;50;61;10;False
26;(8, 9);(13, 12);40;53;61;17;False
29;(9, 5);(14, 1);46;52;61;12;False
25;(14, 5);(3, 13);40;45;68;18;False
28;(11, 1);(13, 10);45;56;68;16;False
30;(10, 7);(6, 1);48;54;68;15;False
27;(2, 13);(14, 13);45;58;70;11;False
32;(3, 5);(1, 1);59;64;70;10;False
31;(9, 9);(1, 7);55;67;77;13;False
34;(16, 11);(12, 5);62;67;77;17;False
36;(16, 7);(10, 4);62;67;81;19;False
33;(16, 8);(3, 9);62;70;84;12;False
39;(16, 13);(10, 6);69;72;85;11;False
41;(7, 4);(1, 8);71;79;91;10;False
35;(10, 10);(15, 1);62;75;95;14;False
38;(1, 4);(13, 6);69;78;98;15;False
40;(13, 7);(12, 9);71;88;99;17;False
37;(13, 10);(7, 2);69;82;103;16;False
44;(7, 10);(1, 1);82;82;103;18;False
45;(2, 5);(13, 11);85;91;108;12;False
42;(14, 5);(5, 1);78;92;109;11;False
46;(11, 9);(3, 1);86;93;113;13;False
47;(6, 13);(5, 9);92;107;114;10;False
43;(14, 13);(7, 8);78;101;117;19;False
48;(1, 6);(9, 9);96;108;119;18;False
54;(7, 6);(1, 2);110;110;126;14;False
53;(16, 7);(13, 8);109;119;127;12;False
51;(7, 10);(2, 1);104;108;130;15;False
60;(1, 2);(2, 5);128;132;136;15;False
55;(3, 9);(16, 13);114;116;138;10;False
49;(1, 7);(15, 1);99;116;140;16;False
57;(7, 3);(7, 11);118;122;140;19;False
50;(1, 11);(10, 6);100;122;141;17;False
56;(16, 6);(5, 5);115;129;141;18;False
58;(1, 3);(1, 1);120;139;141;14;False
59;(3, 1);(10, 11);127;127;148;13;False
62;(2, 9);(2, 5);137;144;150;15;False
61;(2, 13);(4, 10);131;143;152;12;False
65;(14, 13);(16, 11);141;150;154;10;False
52;(1, 12);(16, 4);104;132;155;11;False
68;(16, 2);(7, 6);142;142;155;16;False
64;(7, 2);(11, 1);141;148;159;14;False
67;(7, 12);(12, 1);142;142;159;19;False
63;(1, 4);(6, 9);139;152;162;18;False
66;(8, 13);(13, 10);142;152;164;13;False
70;(6, 1);(7, 10);151;158;168;15;False
74;(5, 13);(3, 13);156;156;170;12;False
71;(9, 5);(10, 8);153;163;173;17;False
76;(2, 9);(7, 7);160;163;176;16;False
77;(13, 12);(2, 13);163;166;178;13;False
73;(16, 7);(16, 4);156;169;182;19;False
69;(16, 8);(1, 13);149;157;183;10;False
79;(5, 5);(7, 8);169;174;183;14;False
78;(7, 12);(1, 6);165;170;184;15;False
75;(7, 4);(16, 11);160;168;190;18;False
80;(14, 5);(12, 1);171;180;190;17;False
81;(5, 9);(10, 3);174;180;193;16;False
72;(1, 1);(6, 5);155;184;194;12;False
84;(1, 10);(13, 10);183;183;196;13;False
83;(4, 3);(13, 4);179;185;199;11;False
87;(10, 6);(13, 11);185;190;199;14;False
85;(6, 1);(3, 5);184;194;203;15;False
86;(15, 1);(16, 13);184;186;203;19;False
91;(10, 3);(16, 7);195;195;204;17;False
90;(7, 12);(5, 5);194;196;209;10;False
92;(12, 9);(7, 8);197;205;211;11;False
89;(4, 7);(13, 7);191;204;217;12;False
93;(1, 7);(6, 5);200;207;218;15;False
88;(14, 9);(8, 1);191;201;219;18;False
82;(9, 13);(1, 3);177;203;222;13;False
95;(3, 9);(5, 9);204;210;224;16;False
96;(13, 8);(1, 4);204;210;227;17;False
94;(4, 12);(14, 5);200;211;228;14;False
98;(8, 13);(7, 2);210;219;231;19;False
97;(5, 1);(16, 3);205;217;236;10;False
101;(13, 12);(4, 7);219;222;238;12;False
104;(16, 8);(12, 5);225;233;242;14;False
105;(10, 3);(6, 5);228;235;242;13;False
103;(8, 9);(4, 10);223;229;244;18;False
102;(5, 13);(1, 11);220;231;245;15;False
100;(4, 8);(9, 5);218;236;246;16;False
99;(16, 13);(1, 8);212;231;251;11;False
114;(7, 10);(3, 13);247;248;255;12;False
107;(13, 7);(10, 12);232;247;257;10;False
106;(11, 5);(5, 5);229;240;258;19;False
108;(4, 12);(10, 10);237;251;261;15;False
113;(9, 13);(7, 7);246;253;261;14;False
110;(2, 5);(10, 4);243;246;263;13;False
117;(1, 11);(1, 6);258;259;264;12;False
112;(12, 5);(1, 1);245;249;266;16;False
118;(4, 7);(3, 5);259;261;272;19;False
111;(1, 4);(7, 11);243;255;275;11;False
115;(10, 2);(3, 9);252;260;276;17;False
121;(6, 9);(10, 6);264;265;278;10;False
123;(5, 5);(9, 5);267;274;278;19;False
116;(11, 13);(7, 12);256;265;282;15;False
124;(14, 9);(15, 1);273;273;284;13;False
109;(16, 6);(1, 3);239;262;286;18;False
119;(4, 8);(16, 13);262;269;287;14;False
127;(14, 1);(13, 8);279;285;293;13;False
129;(7, 7);(13, 3);283;283;294;16;False
126;(10, 7);(5, 1);277;279;295;10;False
125;(16, 3);(8, 1);276;287;297;19;False
120;(1, 7);(16, 10);262;280;302;17;False
122;(15, 9);(1, 13);265;283;303;12;False
130;(3, 5);(4, 10);285;296;306;18;False
131;(13, 6);(16, 8);287;298;306;14;False
134;(11, 5);(13, 3);295;302;306;13;False
133;(1, 1);(4, 7);294;299;309;10;False
132;(7, 8);(6, 1);288;298;312;15;False
136;(12, 1);(3, 9);298;298;314;16;False
128;(11, 1);(2, 13);279;293;318;11;False
140;(14, 13);(1, 12);307;307;321;17;False
135;(10, 3);(9, 1);296;313;324;13;False
137;(10, 4);(5, 13);303;306;326;19;False
141;(4, 2);(2, 1);307;324;327;10;False
142;(10, 12);(4, 6);310;316;328;18;False
144;(4, 3);(11, 5);315;316;329;12;False
138;(10, 11);(7, 2);304;315;332;14;False
143;(4, 7);(11, 9);313;325;334;16;False
145;(3, 13);(5, 9);319;328;338;19;False
148;(8, 9);(12, 5);327;330;338;11;False
139;(16, 2);(11, 13);307;323;339;15;False
146;(11, 1);(7, 8);322;326;341;13;False
147;(8, 1);(15, 1);325;334;341;14;False
149;(16, 8);(14, 5);328;337;346;12;False
151;(7, 7);(16, 7);330;334;347;18;False
152;(5, 1);(8, 5);333;340;347;10;False
155;(13, 12);(12, 5);339;339;353;16;False
159;(10, 2);(16, 2);347;352;360;10;False
150;(12, 13);(16, 11);329;349;363;17;False
158;(16, 6);(15, 1);342;347;363;14;False
154;(4, 7);(14, 13);339;347;367;13;False
160;(2, 5);(14, 5);348;349;371;19;False
162;(6, 5);(11, 5);354;359;376;18;False
166;(11, 13);(7, 10);368;370;377;17;False
163;(4, 4);(6, 1);361;370;379;16;False
153;(15, 13);(3, 1);335;357;381;12;False
164;(4, 8);(8, 9);364;371;382;15;False
165;(16, 10);(4, 10);364;372;386;13;False
156;(1, 4);(3, 5);340;379;390;10;False
167;(10, 10);(15, 9);372;379;391;14;False
169;(14, 5);(10, 8);378;379;392;18;False
157;(1, 11);(14, 1);342;371;398;11;False
168;(2, 1);(8, 1);377;382;398;12;False
172;(4, 7);(12, 9);383;387;398;16;False
173;(13, 2);(6, 5);387;387;399;19;False
